Time,Frame,nose_dist,body_dist,freezing,body,Known,Homecage
24.13,362,0.013777669426334,0.0015150219446896,0,red_chamber,0,0
24.2,363,0.0134399863902646,0.0035820398856611,0,red_chamber,0,0
24.27,364,0.0129829174110327,0.0065129047619279,0,red_chamber,0,0
24.33,365,0.0132711480900152,0.0100578975550212,0,red_chamber,0,0
24.4,366,0.0132230040466408,0.0111648250578685,0,red_chamber,0,0
24.47,367,0.0130524648617595,0.014668105862673,0,red_chamber,0,0
24.53,368,0.0137913389207799,0.0149184721500832,0,red_chamber,0,0
24.6,369,0.0156902524192666,0.0160020295854798,0,red_chamber,0,0
24.67,370,0.0170199109743805,0.0169171443609151,0,red_chamber,0,0
24.73,371,0.0166246794088822,0.0184752361024132,0,red_chamber,0,0
24.8,372,0.0184760922323634,0.0199772808112998,0,red_chamber,0,0
24.87,373,0.0196465122508516,0.0223290998727779,0,red_chamber,0,0
24.93,374,0.021123975998789,0.0217285974659632,0,red_chamber,0,0
25.0,375,0.0203067118666343,0.0203261890608645,0,red_corner,0,0
25.07,376,0.0177426081484492,0.0186789201671198,0,red_corner,0,0
25.13,377,0.0158796351231395,0.0175579713982094,0,red_corner,0,0
25.2,378,0.0142821147011452,0.0155454848259021,0,red_corner,0,0
25.27,379,0.01094029830935,0.009931434018457,0,red_corner,0,0
25.33,380,0.0032275166474548,0.0039346563807691,0,red_corner,0,0
25.4,381,0.0008212603481402,0.0007521286526397,0,red_corner,0,0
25.47,382,0.0009482976891944,0.0007053945617027,0,red_corner,0,0
25.53,383,0.0052260934826273,0.0016799091593201,0,red_corner,0,0
25.6,384,0.0108687994791697,0.0065862893702595,0,red_corner,0,0
25.67,385,0.0136369831757877,0.0130621250910509,0,red_corner,0,0
25.73,386,0.0134297274350475,0.0165052283512793,0,red_corner,0,0
25.8,387,0.0125321298810682,0.0159291466099063,0,red_corner,0,0
25.87,388,0.0087035418292279,0.0119753608554056,0,red_corner,0,0
25.93,389,0.0089341412138858,0.0079357017162432,0,center,0,0
26.0,390,0.0153069162136924,0.0065687090330015,0,center,0,0
26.07,391,0.0164731044937356,0.0075508777630218,0,center,0,0
26.13,392,0.0152050279072247,0.015636728176655,0,center,0,0
26.2,393,0.0179910511721062,0.0181171811854034,0,center,0,0
26.27,394,0.017392245930454,0.0171926355919642,0,center,0,0
26.33,395,0.0086109964314333,0.0129703101552748,0,center,0,0
26.4,396,0.0023704227043547,0.0029265442434475,0,center,0,0
26.47,397,0.0048487923597343,0.0006183180524476,0,center,0,0
26.53,398,0.0052199152677861,0.002831960288099,0,center,0,0
26.6,399,0.0026567784725763,0.0021978627100882,0,center,0,0
26.67,400,0.0012957073640397,0.0011343546664268,0,center,0,0
26.73,401,0.0015987851907678,0.0013010715867655,0,center,0,0
26.8,402,0.0002304755668248,0.0008180198003807,0,center,0,0
26.87,403,0.0020366485615286,0.0003713180891544,0,center,0,0
26.93,404,0.0049527163672233,0.0017587110484482,0,center,0,0
27.0,405,0.0132855831855656,0.0078670400016524,0,center,0,0
27.07,406,0.0186736359164386,0.0172565785741435,0,center,0,0
27.13,407,0.0208766312306938,0.0207481326306045,0,center,0,0
27.2,408,0.0218552096246868,0.0198628888503131,0,center,0,0
27.27,409,0.0206987185176303,0.0208457132453032,0,center,0,0
27.33,410,0.0205462930683058,0.0222085734791506,0,center,0,0
27.4,411,0.0198825394601643,0.021748748378101,0,center,0,0
27.47,412,0.0180072667843221,0.019998296639943,0,center,0,0
27.53,413,0.0221662981466487,0.0174660956697342,0,center,0,0
27.6,414,0.0185332628037164,0.0163217548404974,0,blue_corner,0,0
27.67,415,0.0125791595421086,0.0137464001890621,0,blue_corner,0,0
27.73,416,0.0105014720919021,0.0117412580279864,0,blue_corner,0,0
27.8,417,0.0120260387880186,0.0088262140676551,0,blue_corner,0,0
27.87,418,0.0107386127380396,0.0090124043801019,0,blue_corner,0,0
27.93,419,0.0084069646632754,0.009051206108454,0,blue_corner,0,0
28.0,420,0.0105203447053853,0.0078072029249618,0,blue_corner,0,0
28.07,421,0.0139627295175974,0.0095642407376405,0,blue_corner,0,0
28.13,422,0.0130900161135708,0.0085108982168641,0,blue_corner,0,0
28.2,423,0.0150484941293785,0.011959266026472,0,blue_corner,0,0
28.27,424,0.0196631061271921,0.0183460816733994,0,blue_corner,0,0
28.33,425,0.0228694413545605,0.0236868868477553,0,blue_corner,0,0
28.4,426,0.0236159289900324,0.0261416545284854,0,blue_corner,0,0
28.47,427,0.0251862603244011,0.0255779162142673,0,blue_corner,0,0
28.53,428,0.0234140839681442,0.0234115679447942,0,blue_chamber,0,0
28.6,429,0.0230697482124221,0.0215077236260717,0,blue_chamber,0,0
28.67,430,0.0201384268328192,0.0216422189615214,0,blue_chamber,0,0
28.73,431,0.0152692084251334,0.0161499631507001,0,blue_chamber,0,0
28.8,432,0.011205580879539,0.0100207535077462,0,blue_chamber,0,0
28.87,433,0.0136697367377852,0.0137556634365281,0,blue_chamber,0,0
28.93,434,0.0148995180637514,0.0286286061090266,0,blue_chamber,0,0
29.0,435,0.0159117645980027,0.0157127968652644,0,blue_chamber,0,0
29.07,436,0.0135010231443489,0.006909601987709,0,blue_chamber,0,0
29.13,437,0.0125078855180164,0.0088469414793305,0,blue_chamber,0,0
29.2,438,0.0073734245213625,0.0060088850573586,0,blue_chamber,0,0
29.27,439,0.0016358519048689,0.0042850845340688,0,blue_chamber,0,0
29.33,440,0.003367370478289,0.0028736760396705,0,blue_chamber,0,0
29.4,441,0.0161670577152625,0.0057978283911869,0,blue_chamber,0,0
29.47,442,0.0144702935841573,0.0046372889588929,0,blue_chamber,0,0
29.53,443,0.0166746166214032,0.0043986011044514,0,blue_chamber,0,0
29.6,444,0.0108848004186919,0.0042512858366276,0,blue_chamber,0,0
29.67,445,0.0050672659760299,0.0032269694069124,0,blue_chamber,0,0
29.73,446,0.0066608483260554,0.0045699818909842,0,blue_chamber,0,0
29.8,447,0.0068084714142601,0.0065333934147054,0,blue_chamber,0,0
29.87,448,0.0065790516598953,0.0063450379738408,0,blue_chamber,0,0
29.93,449,0.0120895717900939,0.0089119936372026,0,blue_chamber,0,0
30.0,450,0.0152725393059668,0.0144951049208022,0,blue_chamber,0,0
30.07,451,0.0139827544821933,0.0135115048436072,0,blue_chamber,0,0
30.13,452,0.0142433571478712,0.0145065352638035,0,blue_chamber,0,0
30.2,453,0.0163332151637941,0.0167568503541425,0,blue_chamber,0,0
30.27,454,0.0190355042785482,0.0197831313576822,0,blue_chamber,0,0
30.33,455,0.018681276569602,0.0183232474791481,0,blue_chamber,0,0
30.4,456,0.0164563055503633,0.0157461897093602,0,blue_chamber,0,0
30.47,457,0.0148554301180512,0.0151973324092514,0,blue_corner,0,0
30.53,458,0.0163431099702847,0.0166351278927326,0,blue_corner,0,0
30.6,459,0.0146304725227081,0.0149755070483101,0,blue_corner,0,0
30.67,460,0.010476488556987,0.0112026464003272,0,blue_corner,0,0
30.73,461,0.0096077939518815,0.008824133675147,0,blue_corner,0,0
30.8,462,0.0114932519320154,0.0106956651199148,0,blue_corner,0,0
30.87,463,0.0095275819964713,0.0099055971397106,0,blue_corner,0,0
30.93,464,0.0089462935259748,0.0064595560812466,0,blue_corner,0,0
31.0,465,0.0085260809301871,0.0065978707062168,0,blue_corner,0,0
31.07,466,0.0076753822249666,0.0077522593444233,0,blue_corner,0,0
31.13,467,0.0094313553618239,0.0098406279336964,0,blue_corner,0,0
31.2,468,0.0134720741080675,0.011649534388361,0,blue_corner,0,0
31.27,469,0.0145922223381162,0.0145839313535514,0,blue_corner,0,0
31.33,470,0.0163610869222577,0.013883575094837,0,blue_corner,0,0
31.4,471,0.0142483748489372,0.0122249330631979,0,blue_corner,0,0
31.47,472,0.010927527145478,0.0102252345442375,0,blue_corner,0,0
31.53,473,0.0018207604592571,0.0073981065088523,0,blue_corner,0,0
31.6,474,0.0023518668828353,0.0011397544066291,0,blue_corner,0,0
31.67,475,0.0046150443544433,0.0022443520546522,0,blue_corner,0,0
31.73,476,0.0036023623686828,0.0021868522744642,0,blue_corner,0,0
31.8,477,0.0007565590019655,0.0011929526940767,0,blue_corner,0,0
31.87,478,0.001741422187761,0.0004946616667835,0,blue_corner,0,0
31.93,479,0.0028415512788553,0.0004201954216455,0,blue_corner,0,0
32.0,480,0.0081039392978527,0.0010253997849255,0,blue_corner,0,0
32.07,481,0.0126401725917312,0.0032206421878407,0,blue_corner,0,0
32.13,482,0.0143275577296357,0.0037818674783828,0,blue_corner,0,0
32.2,483,0.0133249552364772,0.0055558309021218,0,blue_corner,0,0
32.27,484,0.01069590161006,0.0073432763363642,0,blue_corner,0,0
32.33,485,0.0139637861124998,0.0096732256624393,0,blue_corner,0,0
32.4,486,0.0162224584733203,0.0128850419382116,0,blue_corner,0,0
32.47,487,0.0165116439575164,0.0142616431246625,0,blue_corner,0,0
32.53,488,0.0155562740406258,0.0164938196453055,0,blue_corner,0,0
32.6,489,0.0153607980545864,0.0167073924957313,0,blue_corner,0,0
32.67,490,0.0121895774159157,0.0124583378491557,0,blue_corner,0,0
32.73,491,0.0096129610129674,0.0105785197084904,0,blue_corner,0,0
32.8,492,0.0093161349525468,0.0096667735030363,0,blue_corner,0,0
32.87,493,0.0092316770505599,0.0086456791103734,0,blue_corner,0,0
32.93,494,0.0070349970010569,0.0081948262212875,0,blue_corner,0,0
33.0,495,0.00877104839677,0.0059344448303915,0,blue_corner,0,0
33.07,496,0.0095624525420743,0.0071163751148802,0,blue_corner,0,0
33.13,497,0.0096399632704464,0.0078469997398976,0,blue_corner,0,0
33.2,498,0.0085354322426966,0.0078225725017727,0,blue_chamber,0,0
33.27,499,0.0082567833061159,0.0067180509071341,0,blue_chamber,0,0
33.33,500,0.0079889474418167,0.0058704104142756,0,blue_chamber,0,0
33.4,501,0.0099112780749872,0.0066123446472838,0,blue_chamber,0,0
33.47,502,0.0085743699774499,0.0062438600918484,0,blue_chamber,0,0
33.53,503,0.0091352030417527,0.0055011925426711,0,blue_chamber,0,0
