Time,Frame,nose_dist,body_dist,freezing,darting,Homecage,Known
181.07,2716,0.022506289863095,0.0125480748183734,0,0,0,0
181.13,2717,0.0686084399283366,0.0115382349642822,0,0,0,0
181.2,2718,0.0232091547399845,0.0101370437459469,0,0,0,0
181.27,2719,0.0083679505855228,0.0083443787755141,0,0,0,0
181.33,2720,0.0082768960305524,0.0062048545467355,0,0,0,0
181.4,2721,0.00687172121316,0.0045398527043794,0,0,0,0
181.47,2722,0.0097007893011646,0.0043232879383462,0,0,0,0
181.53,2723,0.0087201007522104,0.0023973041580391,0,0,0,0
181.6,2724,0.0127886885006617,0.0009100770966556,0,0,0,0
181.67,2725,0.0132668049369986,0.0003341927725695,0,0,0,0
181.73,2726,0.0091849255441394,0.0015598511582241,0,0,0,0
181.8,2727,0.0048099300326093,0.0005050248528249,0,0,0,0
181.87,2728,0.0016017331580816,0.0016034878725309,0,0,0,0
181.93,2729,0.0008130879592331,0.0003417959666388,0,0,0,0
182.0,2730,0.0002573924475772,0.0007096468704059,0,0,0,0
182.07,2731,0.0002018117066565,1.7566395624405046e-05,0,0,0,0
182.13,2732,8.114849556843483e-05,0.0006806581926256,0,0,0,0
182.2,2733,3.9336184172687325e-05,0.0001360248763882,0,0,0,0
182.27,2734,0.000124304827426,0.0001492091543994,0,0,0,0
182.33,2735,0.0001847228717764,0.0001446831138618,0,0,0,0
182.4,2736,0.0014642647538867,0.0015202101622881,0,0,0,0
182.47,2737,0.0032624005208211,0.0041556245557648,0,0,0,0
182.53,2738,0.0038453587476798,0.0041322868842247,0,0,0,0
182.6,2739,0.0048061603856908,0.0044396242610415,0,0,0,0
182.67,2740,0.0046930849475377,0.008069739184312,0,0,0,0
182.73,2741,0.0036145026357573,0.0081493107756015,0,0,0,0
182.8,2742,0.0052919019490887,0.0050017305996266,0,0,0,0
182.87,2743,0.0072416456814264,0.0049338482848216,0,0,0,0
182.93,2744,0.0057278181591562,0.00833784488582,0,0,0,0
183.0,2745,0.0093758264155655,0.0087059865251025,0,0,0,0
183.07,2746,0.0063022964154909,0.0053508053463501,0,0,0,0
183.13,2747,0.0038047870215642,0.0038774148598584,0,0,0,0
183.2,2748,0.0015795424702991,0.0059014044714472,0,0,0,0
183.27,2749,0.0053200182074345,0.0038379562482287,0,0,0,0
183.33,2750,0.0115380454524734,0.0031898493544982,0,0,0,0
183.4,2751,0.0104589938729606,0.0062549497345955,0,0,0,0
183.47,2752,0.0067356500779218,0.006246035966062,0,0,0,0
183.53,2753,0.0052120213776427,0.0050210028852207,0,0,0,0
183.6,2754,0.0025860109960008,0.0024285621372912,0,0,0,0
183.67,2755,0.0027418772534838,0.0009255857004212,0,0,0,0
183.73,2756,0.0017318953756059,0.0024434811284329,0,0,0,0
183.8,2757,0.0009353366966765,0.0026179355114965,0,0,0,0
183.87,2758,0.0011212600384823,0.0026528838853825,0,0,0,0
183.93,2759,0.0029259804401729,0.002249038412594,0,0,0,0
184.0,2760,0.0026337438315083,0.0015044650038213,0,0,0,0
184.07,2761,0.0011422758396685,0.0015976128416058,0,0,0,0
184.13,2762,2.8614306238741137e-05,0.0017050883336336,0,0,0,0
184.2,2763,0.0009964242959585,0.0012794570653473,0,0,0,0
184.27,2764,0.0015985777840195,0.0008002419604433,0,0,0,0
184.33,2765,0.0041530442812078,0.0021879043157816,0,0,0,0
184.4,2766,0.0078080074420268,0.0009205260008357,0,0,0,0
184.47,2767,0.0076650868821529,0.0002459557306443,0,0,0,0
184.53,2768,0.0034617551339786,0.0003141025704436,0,0,0,0
184.6,2769,0.0011130562567703,0.0004953802761592,0,0,0,0
184.67,2770,0.0035573891382756,0.0015053337090703,0,0,0,0
184.73,2771,0.0080081912983569,0.0028038952501235,0,0,0,0
184.8,2772,0.0084441659525059,0.0013008435940565,0,0,0,0
184.87,2773,0.0051915879036032,0.0013464131706926,0,0,0,0
184.93,2774,0.0038029477690601,0.0009753837230789,0,0,0,0
185.0,2775,0.0043992827841871,0.0028906042944614,0,0,0,0
185.07,2776,0.0028615495042793,0.0025279364272622,0,0,0,0
185.13,2777,0.0012124103329068,0.0017809326634926,0,0,0,0
185.2,2778,0.0009555978135511,0.0017293720571049,0,0,0,0
185.27,2779,0.0002533160307658,0.0015342539909594,0,0,0,0
185.33,2780,0.0002030188220318,0.001557418032831,0,0,0,0
185.4,2781,0.0002194999396577,1.923496573804628e-05,0,0,0,0
185.47,2782,0.0002138721723381,0.0013765134049269,0,0,0,0
185.53,2783,0.0001876267346194,0.0005813411239608,0,0,0,0
185.6,2784,0.0001870380761976,0.0006387233316736,0,0,0,0
185.67,2785,0.0002913028794704,0.0008420421000391,0,0,0,0
185.73,2786,0.0002590372262527,0.0005977820660613,0,0,0,0
185.8,2787,0.000324964389572,0.0007002909571184,0,0,0,0
185.87,2788,0.0013504246691198,0.0004495879481694,0,0,0,0
185.93,2789,0.0003690335214106,0.0001675767899622,0,0,0,0
186.0,2790,0.0002665621420814,0.0002014096485037,0,0,0,0
186.07,2791,0.0008009902056668,0.000208268530316,0,0,0,0
186.13,2792,0.0046800565459133,0.000769070079824,0,0,0,0
186.2,2793,0.0072923286143381,0.0006097290332731,0,0,0,0
186.27,2794,0.0006207143429344,0.0001590550330044,0,0,0,0
186.33,2795,0.0050515135512757,7.816017599795571e-05,0,0,0,0
186.4,2796,0.0026056108975862,0.0003427466306015,0,0,0,0
186.47,2797,0.0002389241169871,0.0002156041436083,0,0,0,0
186.53,2798,0.0004828254904911,0.0001754210583346,0,0,0,0
186.6,2799,5.587769490158986e-05,7.260918576297822e-05,0,0,0,0
186.67,2800,0.0002679716657071,0.0002331427392152,0,0,0,0
186.73,2801,0.0001370018249443,0.000330778890029,0,0,0,0
186.8,2802,0.0016486843933279,0.0003670243186884,0,0,0,0
186.87,2803,0.0054341899924122,0.0003566635389638,0,0,0,0
186.93,2804,0.0056855579005753,0.0014607119262694,0,0,0,0
187.0,2805,0.0047347879455619,0.0009821636471517,0,0,0,0
187.07,2806,0.0016495877018754,0.0007758083044688,0,0,0,0
187.13,2807,0.0019820040210604,0.0007048633261889,0,0,0,0
187.2,2808,0.0031426768128276,0.0024741970080466,0,0,0,0
187.27,2809,0.0057355092098437,0.004784867018242,0,0,0,0
187.33,2810,0.0045279315608293,0.0028016222832879,0,0,0,0
187.4,2811,0.0014970855221617,0.00373370852516,0,0,0,0
187.47,2812,0.0021550695770026,0.0040344450968199,0,0,0,0
187.53,2813,0.0010651605253568,0.0007201161807066,0,0,0,0
187.6,2814,0.0029260603367401,0.0008060001331775,0,0,0,0
187.67,2815,0.0045707939474072,0.0024576141173636,0,0,0,0
187.73,2816,0.0042762704738167,0.0052637438046539,0,0,0,0
187.8,2817,0.0013971954379541,0.0058355385865998,0,0,0,0
187.87,2818,0.0026429784790881,0.0092868998721625,0,0,0,0
187.93,2819,0.0171837028568991,0.0084613939373977,0,0,0,0
188.0,2820,0.0308145202346346,0.012241030176293,0,0,0,0
188.07,2821,0.0256691014237147,0.0282331109717666,0,0,0,0
188.13,2822,0.0136625086539799,0.0260637825647966,0,0,0,0
188.2,2823,0.0111932474471544,0.0094270406597277,0,0,0,0
188.27,2824,0.0112391683088507,0.0081632771631678,0,0,0,0
188.33,2825,0.0095463108471898,0.0057890837189639,0,0,0,0
188.4,2826,0.0028022359498449,0.0021269814151579,0,0,0,0
188.47,2827,0.0003596798091808,0.0035480532792504,0,0,0,0
188.53,2828,0.000371651192326,0.0009089505186911,0,0,0,0
188.6,2829,0.0005095903146721,0.0001098610503696,0,0,0,0
188.67,2830,0.0006406941280701,3.605554793977391e-05,0,0,0,0
188.73,2831,0.0002362489476904,6.136436838974097e-05,0,0,0,0
188.8,2832,0.000356917643426,0.000148709126025,0,0,0,0
188.87,2833,0.0003434041962843,0.0003630127874546,0,0,0,0
188.93,2834,0.0001281643912423,0.0001336560813956,0,0,0,0
189.0,2835,0.0022070237549208,0.0010352426319651,0,0,0,0
189.07,2836,0.0087637472836832,0.0058880978921908,0,0,0,0
189.13,2837,0.0152603420973233,0.0118270480918111,0,0,0,0
189.2,2838,0.0167147655153341,0.0161533260885965,0,0,0,0
189.27,2839,0.01553879776146,0.0161510692593871,0,0,0,0
189.33,2840,0.0141488781247103,0.0132939276825003,0,0,0,0
189.4,2841,0.010549522979098,0.009116837076124,0,0,0,0
189.47,2842,0.0079441592261584,0.00809397208537,0,0,0,0
189.53,2843,0.0091610063277388,0.0107308697294507,0,0,0,0
189.6,2844,0.0133216301780274,0.0140629003051269,0,0,0,0
189.67,2845,0.0150463610077529,0.0134489007658158,0,0,0,0
189.73,2846,0.010034336059502,0.0110809938494191,0,0,0,0
189.8,2847,0.0113467723285833,0.012770628211335,0,0,0,0
189.87,2848,0.0125732554103221,0.0132382291545433,0,0,0,0
189.93,2849,0.0108913652172015,0.013554397315769,0,0,0,0
190.0,2850,0.0112478812843846,0.0106266606631934,0,0,0,0
190.07,2851,0.0105678238952476,0.0074921797565273,0,0,1,0
190.13,2852,0.004914468805264,0.0041370246341731,0,0,1,0
190.2,2853,0.0022052709009033,0.0014876828273215,0,0,1,0
190.27,2854,0.0004892977409414,0.0008259589156422,0,0,1,0
190.33,2855,0.0002559916183091,0.000246549372719,0,0,1,0
190.4,2856,0.0012825508756936,0.00043901504779,0,0,1,0
190.47,2857,0.0043194013602408,0.0022026509738354,0,0,1,0
190.53,2858,0.0082714754801431,0.0039753151060409,0,0,1,0
190.6,2859,0.024259728085585,0.0034413205754975,0,0,1,0
190.67,2860,0.0063099777568433,0.0030405346787393,0,0,1,0
190.73,2861,2.9650115537373603e-05,0.0033334233434858,0,0,1,0
190.8,2862,0.0003735590565539,0.0034513473612125,0,0,1,0
190.87,2863,0.00019502731665,0.0023717228119535,0,0,1,0
190.93,2864,0.0002459481557379,0.0004267104717656,0,0,1,0
191.0,2865,0.0005177911465951,0.0001783550986226,0,0,1,0
191.07,2866,0.0002300976761769,0.0004757792196042,0,0,1,0
191.13,2867,0.0004475499337715,0.0005126848981115,0,0,1,0
191.2,2868,0.0001426080440821,0.0005795452998611,0,0,1,0
191.27,2869,0.0010365707868266,0.0001342580684707,0,0,1,0
191.33,2870,0.0005480756687852,0.0004881093170451,0,0,1,0
191.4,2871,0.0005199079042142,0.0008091598680531,0,0,1,0
191.47,2872,0.0008876356620366,0.0006918788360895,0,0,1,0
191.53,2873,0.0009606947569702,0.0004816438382539,0,0,1,0
191.6,2874,0.0002375535958526,0.0003427093730754,0,0,1,0
191.67,2875,0.0003271445958011,0.0002111452445426,0,0,1,0
191.73,2876,0.0045719136369851,0.0003870951720429,0,0,1,0
191.8,2877,0.0172887327702531,0.0013085375083799,0,0,1,0
191.87,2878,0.0049320323751867,0.000462530466777,0,0,1,0
191.93,2879,0.0007579149850258,0.0003801557915467,0,0,1,0
192.0,2880,0.0003215671600364,0.000429971435918,0,0,1,0
192.07,2881,0.0012332364994575,0.0010106730922593,0,0,1,0
192.13,2882,0.0004643106928125,0.0014022212960759,0,0,1,0
192.2,2883,9.770533796859322e-05,0.0009633080000709,0,0,1,0
192.27,2884,0.0003513618518232,0.0007011968999493,0,0,1,0
192.33,2885,0.0005874983725076,0.0017142859298377,0,0,1,0
192.4,2886,0.0008773124863157,0.0031945357491851,0,0,1,0
192.47,2887,0.0005965576203731,0.0020223620479754,0,0,1,0
192.53,2888,0.0002198595290344,0.000696566652769,0,0,1,0
192.6,2889,0.0003804937987875,0.0005854656854274,0,0,1,0
192.67,2890,0.0006723333338327,0.0013083758158824,0,0,1,0
192.73,2891,0.0008345643583859,0.0012785539791998,0,0,1,0
192.8,2892,0.0014392577157986,0.0009039633224089,0,0,1,0
192.87,2893,0.0011298935888799,0.0005032512345249,0,0,1,0
192.93,2894,0.0004551483171829,0.0003356749415994,0,0,1,0
193.0,2895,0.0001053671900964,0.0006184408167211,0,0,1,0
193.07,2896,0.0004619569195678,0.0004448329117265,0,0,1,0
193.13,2897,0.000878576106899,0.0001447942524781,0,0,1,0
193.2,2898,0.0015238154546265,0.0010696689173522,0,0,1,0
193.27,2899,0.0026838221304007,0.0015386411011096,0,0,1,0
193.33,2900,0.0015873510002386,0.000775040239636,0,0,1,0
193.4,2901,7.553595097941425e-05,0.0001267907125345,0,0,1,0
193.47,2902,0.0032409097684938,0.0004321127944528,0,0,1,0
193.53,2903,0.0105426687109987,0.0018457939406852,0,0,1,0
193.6,2904,0.0106499462480327,0.0017952041447404,0,0,0,0
193.67,2905,0.0094098034135721,0.0008015867575138,0,0,0,0
193.73,2906,0.0050302796127657,0.0009967328190135,0,0,0,0
193.8,2907,0.0056764583505744,0.0005733702896077,0,0,0,0
193.87,2908,0.0101466516160206,0.0003561378228468,0,0,0,0
193.93,2909,0.0090801731048571,0.0005055735334939,0,0,0,0
194.0,2910,0.0083020132784238,0.0025308492754111,0,0,0,0
194.07,2911,0.0084232060243696,0.0040254097931278,0,0,0,0
194.13,2912,0.0052108885424446,0.0041951123371045,0,0,0,0
194.2,2913,0.0013478843529922,0.0034835446907718,0,0,0,0
194.27,2914,0.0006813950705496,0.0030775850710056,0,0,0,0
194.33,2915,0.0016395158484481,0.0008212129375857,0,0,0,0
