Time,Frame,nose_dist,body_dist,freezing,darting,Known,Homecage
255.73,3836,0.001205098427852,0.0001124900042631,0,0,0,0
255.8,3837,0.0004429821209412,1.0673403683361528e-05,0,0,0,0
255.87,3838,3.588531390652195e-05,8.018632071184714e-05,0,0,0,0
255.93,3839,0.0002994151999538,2.3943481429190985e-05,0,0,0,0
256.0,3840,0.0001075840403532,6.489999053229406e-05,0,0,0,0
256.07,3841,0.0006563527189909,0.0008019689834594,0,0,0,0
256.13,3842,0.0009053854829636,0.0027202741330392,0,0,0,0
256.2,3843,0.0016891072684973,0.0018711508194674,0,0,0,1
256.27,3844,0.0017519777730474,0.0004599911862879,0,0,0,1
256.33,3845,0.005640184608295,0.0003331362036712,0,0,0,1
256.4,3846,0.0040780316260545,0.0001172510667621,0,0,0,1
256.47,3847,0.0013806937609088,0.0001256931969265,0,0,0,1
256.53,3848,0.0002452347616205,2.5881773453733757e-05,0,0,0,1
256.6,3849,0.000164553162978,0.000203984383879,0,0,0,1
256.67,3850,0.0001596094436575,0.0002163529776671,0,0,0,1
256.73,3851,0.0001880931180279,0.0001603825575953,0,0,0,1
256.8,3852,6.540701948293507e-05,1.6178698543713453e-05,0,0,0,1
256.87,3853,5.755678022266391e-05,6.877626935379424e-05,0,0,0,1
256.93,3854,0.0001280456929801,2.166004839823061e-05,0,0,0,1
257.0,3855,4.9337918223390666e-05,3.863356622592189e-05,0,0,0,1
257.07,3856,0.0002883168871903,0.0001819512763366,0,0,0,1
257.13,3857,0.001014103504164,0.0001875670112807,0,0,0,1
257.2,3858,0.0017448679104285,0.000516702240258,0,0,0,1
257.27,3859,0.0017054620184598,0.0005795136731408,0,0,0,1
257.33,3860,0.0005273286565136,0.000219666780896,0,0,0,1
257.4,3861,0.0005234668242572,9.669179660594634e-05,0,0,0,1
257.47,3862,0.0001574576753299,0.0003533901765233,0,0,0,1
257.53,3863,0.000196762897148,0.0006907716962104,0,0,0,1
257.6,3864,0.0004835323393613,0.0002123295772231,0,0,0,1
257.67,3865,0.0022389015585737,0.0003488412598467,0,0,0,1
257.73,3866,0.0115840335379424,0.0016390510638723,0,0,0,1
257.8,3867,0.0167142173948736,0.0014842050465361,0,0,0,0
257.87,3868,0.011355034111448,0.0002172471062533,0,0,0,0
257.93,3869,0.0090947278638138,0.0005262837445577,0,0,0,0
258.0,3870,0.0102693455574157,0.0011397984841223,0,0,0,0
258.07,3871,0.0104023316911104,0.0020491302680544,0,0,0,0
258.13,3872,0.0109921912465415,0.0041958264734215,0,0,0,0
258.2,3873,0.0128832532276624,0.0079877564929924,0,0,0,0
258.27,3874,0.0092471869126049,0.0076562010727008,0,0,0,0
258.33,3875,0.0043902890187571,0.0052328081954952,0,0,0,0
258.4,3876,0.0016753600674793,0.0026970582546351,0,0,0,0
258.47,3877,0.0006717867942367,0.0009731968790613,0,0,0,0
258.53,3878,0.000112336547564,0.0001382987683106,0,0,0,0
258.6,3879,0.0020705221891579,3.3012940226077064e-05,0,0,0,0
258.67,3880,0.0076847007423443,0.0003095933723494,0,0,0,0
258.73,3881,0.0122937585171136,0.0018079956297912,0,0,0,0
258.8,3882,0.0149355821254641,0.0056946168230603,0,0,0,0
258.87,3883,0.0164123292761547,0.014000095018468,0,0,0,0
258.93,3884,0.0173413206092724,0.0166456817120618,0,0,0,0
259.0,3885,0.017540529071394,0.0177994557923558,0,0,0,0
259.07,3886,0.0197988314736799,0.0202052154099066,0,0,0,0
259.13,3887,0.0205277095092798,0.0196606990836479,0,0,0,0
259.2,3888,0.0195079324623287,0.017611162014952,0,0,0,0
259.27,3889,0.0150167649719824,0.0146363222277556,0,0,0,0
259.33,3890,0.0108372030683871,0.0117871820239832,0,0,0,0
259.4,3891,0.0085921320348632,0.0086105156080177,0,0,0,0
259.47,3892,0.0058607729770875,0.0052925950774779,0,0,0,0
259.53,3893,0.0020609800851475,0.0037179391172423,0,0,0,0
259.6,3894,0.0049935670594187,0.0048934148953711,0,0,0,0
259.67,3895,0.0102581009461263,0.0104780399105598,0,0,0,0
259.73,3896,0.0144415462096703,0.012954454389804,0,0,0,0
259.8,3897,0.0115021389249326,0.0112322526214535,0,0,0,0
259.87,3898,0.0124304639448665,0.0121976322046142,0,0,0,0
259.93,3899,0.0165598934602651,0.0148911197901648,0,0,0,0
260.0,3900,0.0182438673133915,0.0179794124617073,0,0,0,0
260.07,3901,0.0173963224873862,0.0170640039273299,0,0,0,0
260.13,3902,0.0147676740866839,0.0148153740128771,0,0,0,0
260.2,3903,0.0091570273800887,0.0097729166418034,0,0,0,0
260.27,3904,0.0042751233333033,0.0042893633869184,0,0,0,0
260.33,3905,0.008387198195292,0.0029485145432094,0,0,0,0
260.4,3906,0.0045522496672314,0.0026673509170903,0,0,0,0
260.47,3907,0.0007297619528609,0.0006596836807366,0,0,0,0
260.53,3908,0.001195386818409,4.898013285646182e-05,0,0,0,0
260.6,3909,0.0056012225377429,0.0003089949898845,0,0,0,0
260.67,3910,0.0108134623224207,0.0022896519027863,0,0,0,0
260.73,3911,0.0108792321871584,0.0056415265420306,0,0,0,0
260.8,3912,0.0053137179216571,0.0061101432869992,0,0,0,0
260.87,3913,0.0033003903128883,0.0042388996613409,0,0,0,0
260.93,3914,0.001290460292651,0.0010843686474711,0,0,0,0
261.0,3915,0.0006645741007821,0.0017283760039265,0,0,0,0
261.07,3916,0.0003815835669949,0.0010955559230962,0,0,0,0
261.13,3917,0.0001542382248249,0.0001237161006181,0,0,0,0
261.2,3918,0.0002236225829573,0.0003511707644025,0,0,0,0
261.27,3919,0.0004027273612914,0.000236235186142,0,0,0,0
261.33,3920,0.0002942290984527,0.0002252253145801,0,0,0,0
261.4,3921,0.0001476907495918,0.0002384057022437,0,0,0,0
261.47,3922,7.464594226392062e-05,0.0001718692949761,0,0,0,0
261.53,3923,5.626809811979621e-05,2.0241014248346516e-05,0,0,0,0
261.6,3924,5.916234340905657e-05,0.0001446337995234,0,0,0,0
261.67,3925,3.8706108034784025e-05,0.0001479379223499,0,0,0,0
261.73,3926,1.4666424840105368e-05,5.880513670535092e-05,0,0,0,0
261.8,3927,0.0001804721445367,4.63060180261778e-05,0,0,0,0
