Time,Frame,nose_dist,body_dist,freezing,Novel,Known
260.8,6520,0.0017676683539929,0.0004720120378762,0,0.0,0.0
260.84,6521,0.0014744042393075,7.322444244531802e-05,0,0.0,0.0
260.88,6522,0.0004667237369434,8.5501420889697e-05,0,0.0,0.0
260.92,6523,0.000515607720118,0.0003255439693966,0,0.0,0.0
260.96,6524,0.0016424818698252,0.000400929787639,0,0.0,0.0
261.0,6525,0.002365795934172,0.0005185540224558,0,0.0,0.0
261.04,6526,0.0010149411252205,0.0001175650158681,0,0.0,0.0
261.08,6527,0.0007753366109488,0.0001038415385232,0,0.0,0.0
261.12,6528,0.0027530810028394,0.0002393935573311,0,0.0,0.0
261.16,6529,0.0014685839152567,0.0004126631168731,0,0.0,0.0
261.2,6530,0.0019857806259059,0.0012788725930845,0,0.0,0.0
261.24,6531,0.0016401731819597,0.0010365629960341,0,0.0,0.0
261.28,6532,0.0011406300313683,0.0002037905788584,0,0.0,0.01
261.32,6533,0.0008043336363409,5.721476203254071e-06,0,0.0,0.01
261.36,6534,0.0004355539383598,2.5315471914275636e-05,0,0.0,0.01
261.4,6535,0.001302001986295,8.134571201000436e-05,0,0.0,0.01
261.44,6536,0.0019673870474737,0.0001676207907629,0,0.0,0.01
261.48,6537,0.0016882021665447,9.376364665241092e-05,0,0.0,0.01
261.52,6538,0.0016018998071152,8.451182832839607e-05,0,0.0,0.01
261.56,6539,0.0019810652061162,0.0002117006128922,0,0.0,0.01
261.6,6540,0.0019645086006887,7.798862282493748e-05,0,0.0,0.01
261.64,6541,0.0018498246065842,3.734245794614565e-05,0,0.0,0.01
261.68,6542,0.0009667709199048,9.659005986676662e-05,0,0.0,0.01
261.72,6543,0.0002295290450536,0.000344122048345,0,0.0,0.01
261.76,6544,3.372518534566064e-05,8.563338572637694e-05,0,0.0,0.01
261.8,6545,3.3588297511385364e-05,3.407271124707185e-05,0,0.0,0.01
261.84,6546,0.0001458721167711,0.0001354189492726,0,0.0,0.01
261.88,6547,0.0001044611611708,0.0003979152665779,0,0.0,0.01
261.92,6548,0.0001439524565998,0.0002143322811767,0,0.0,0.01
261.96,6549,0.0002030321183049,9.696080519847674e-05,0,0.0,0.01
262.0,6550,0.0001411950518137,4.585735890402232e-05,0,0.0,0.01
262.04,6551,9.141810436597682e-05,4.93092502110717e-05,0,0.0,0.01
262.08,6552,6.25074095216454e-05,2.94131991232829e-05,0,0.0,0.01
262.12,6553,1.295997057854421e-05,4.972751261726678e-05,0,0.0,0.01
262.16,6554,0.000107644523762,7.140662602029405e-05,0,0.0,0.01
262.2,6555,0.0005516351103363,0.000203097130793,0,0.0,0.01
262.24,6556,0.0009801305960006,0.0007935386574036,0,0.0,0.01
262.28,6557,0.0019132664182612,0.000358941494903,0,0.0,0.01
262.32,6558,0.0018746035649371,4.339928948135314e-05,0,0.0,0.01
262.36,6559,0.0015212191755757,0.0001123363224204,0,0.0,0.01
262.4,6560,0.0017194513576507,0.0008072802744075,0,0.0,0.01
262.44,6561,0.0030146824911254,0.0015596833425364,0,0.0,0.01
262.48,6562,0.0007041840100512,0.0004114224294506,0,0.0,0.01
