Time,Frame,nose_dist,body_dist,freezing,Novel,Known
90.88,2272,0.0013034764195483,0.0002037653519363,0,0.0,0.0
90.92,2273,0.0034542392493404,0.0003624830331234,0,0.0,0.0
90.96,2274,0.0095496103214642,0.0005385136905032,0,0.0,0.0
91.0,2275,0.0055022273579622,0.0008462989049498,0,0.0,0.0
91.04,2276,0.0022528267908601,0.0008982345289975,0,0.0,0.0
91.08,2277,0.0063875021565209,0.0032586386299833,0,0.0,0.0
91.12,2278,0.0066113448330262,0.0038222015867612,0,0.0,0.0
91.16,2279,0.0093732875487575,0.0064502584396918,0,0.0,0.0
91.2,2280,0.0055510934565867,0.0050999492618536,0,0.01,0.0
91.24,2281,0.002391642924132,0.0029112771790646,0,0.01,0.0
91.28,2282,0.0003973983917595,0.0005238129645166,0,0.01,0.0
91.32,2283,0.0004999387016709,0.0003391860085885,0,0.01,0.0
91.36,2284,0.0039903942742681,0.0026450248992875,0,0.01,0.0
91.4,2285,0.0096151042750978,0.0060791627294546,0,0.01,0.0
91.44,2286,0.0065414891111362,0.0036484505345492,0,0.01,0.0
91.48,2287,0.0019877269434817,0.0012840369119808,0,0.01,0.0
91.52,2288,0.004118851298294,0.0031751444025603,0,0.01,0.0
91.56,2289,0.0054215507453397,0.0023369023245593,0,0.01,0.0
91.6,2290,0.0087222363213941,0.0018997392614074,0,0.0,0.0
91.64,2291,0.0045725607858515,0.0014296714261754,0,0.0,0.0
91.68,2292,0.0013689764479101,0.0008644769011015,0,0.0,0.0
91.72,2293,0.0001867531412918,0.0002963207784494,0,0.0,0.0
91.76,2294,0.0001711062326184,0.000153599840005,0,0.0,0.0
91.8,2295,0.00070017708621,0.0005414244963672,0,0.0,0.0
91.84,2296,0.0009933634214499,0.0014083288696428,0,0.0,0.0
91.88,2297,0.0014438217849849,0.0004948592712854,0,0.0,0.0
91.92,2298,0.0023215927233098,0.0002667166354164,0,0.01,0.0
91.96,2299,0.0024371011425068,0.0007925468378755,0,0.01,0.0
92.0,2300,0.0023495145831746,0.0007728824536459,0,0.01,0.0
92.04,2301,0.0037202731746434,0.0011017120651825,0,0.01,0.0
92.08,2302,0.0046351844401474,0.0034399943725916,0,0.01,0.0
92.12,2303,0.0010748070835036,0.0016879259452777,0,0.0,0.0
92.16,2304,0.000425735898608,0.0002551717670771,0,0.0,0.0
92.2,2305,0.0023227306037826,0.0001570197451395,0,0.0,0.0
92.24,2306,0.0038687439576101,0.0006596261346416,0,0.0,0.0
92.28,2307,0.0029311083886569,0.0016547645594959,0,0.0,0.0
92.32,2308,0.00467277782201,0.0044560460814783,0,0.0,0.0
92.36,2309,0.0028587018724761,0.0024671255579124,0,0.0,0.0
92.4,2310,0.002224348756922,0.0012081083982603,0,0.0,0.0
92.44,2311,0.0024943899280604,0.000989074038878,0,0.0,0.0
92.48,2312,0.0053690007400413,0.001775057178956,0,0.0,0.0
92.52,2313,0.0032747081766972,0.0007901043276529,0,0.0,0.0
92.56,2314,0.0041224583979786,0.0006138517299494,0,0.0,0.0
92.6,2315,0.0030782986088758,0.0002523523079308,0,0.0,0.0
92.64,2316,0.0014343096495781,0.0003047593271373,0,0.0,0.0
92.68,2317,0.0041115167586309,0.0010906588445651,0,0.0,0.0
92.72,2318,0.003993754027023,0.0003897978702585,0,0.0,0.0
92.76,2319,0.0033861738017465,0.000197004911118,0,0.0,0.0
92.8,2320,0.0036241209187734,0.0005125878128403,0,0.0,0.0
92.84,2321,0.0025785438772324,0.0006863080711077,0,0.0,0.0
92.88,2322,0.0027305382037043,0.0006327435214005,0,0.0,0.0
92.92,2323,0.0043335246176096,0.0011171085084088,0,0.0,0.0
92.96,2324,0.0026231747833791,0.0005209219642374,0,0.0,0.0
93.0,2325,0.0005140362895978,0.0006237324208581,0,0.0,0.0
93.04,2326,0.0002310533462217,0.0006900430468526,0,0.0,0.0
93.08,2327,0.0012003760365726,0.0011149812464097,0,0.0,0.0
93.12,2328,0.0030525054378023,0.0011678029735466,0,0.0,0.0
93.16,2329,0.0017208295827757,0.0005187814513409,0,0.0,0.0
93.2,2330,0.000917770473459,0.0004056499404438,0,0.0,0.0
93.24,2331,0.0003585288192606,0.0002156899492119,0,0.0,0.0
93.28,2332,0.0003135501344184,0.0001390160225585,0,0.0,0.0
93.32,2333,0.0012264379518133,0.0006995477768731,0,0.0,0.0
93.36,2334,0.0048297643138417,0.0010973485868001,0,0.0,0.0
93.4,2335,0.0024410101955988,0.0011658399889225,0,0.0,0.0
93.44,2336,0.0019591303316642,0.0004653659823032,0,0.0,0.0
93.48,2337,0.0019290131068868,0.0004793957513901,0,0.0,0.0
93.52,2338,0.0023641867776406,0.0003055302499984,0,0.0,0.0
93.56,2339,0.0061580976192534,0.0006258231406719,0,0.0,0.0
93.6,2340,0.0061248418537875,0.0004263130286211,0,0.0,0.0
93.64,2341,0.0058337867314869,0.0003605029684026,0,0.01,0.0
93.68,2342,0.0048177625371697,9.529386827207517e-05,0,0.01,0.0
93.72,2343,0.0052639587603914,3.0797373938189634e-05,0,0.01,0.0
93.76,2344,0.0018592188959394,0.0002101087226049,0,0.01,0.0
93.8,2345,0.0024444136604554,0.0004692020243281,0,0.01,0.0
93.84,2346,0.0017915496228564,0.0003086628499449,0,0.01,0.0
93.88,2347,0.0020358123499399,5.694810668214182e-05,0,0.01,0.0
93.92,2348,0.0010496587055759,0.0001725645869945,0,0.01,0.0
93.96,2349,0.0001516397331261,0.0008477605945922,0,0.01,0.0
94.0,2350,0.0001492694622951,0.0008536291435929,0,0.01,0.0
94.04,2351,0.0006816410045032,0.0002125825627213,0,0.01,0.0
94.08,2352,0.001071004759084,0.0003252691255446,0,0.01,0.0
94.12,2353,0.001123087856552,0.0013260888688919,0,0.01,0.0
94.16,2354,0.0011420763505059,0.0011350105279546,0,0.01,0.0
94.2,2355,0.0013772454102778,0.0011418728081906,0,0.01,0.0
94.24,2356,0.0028350908932613,0.0007561094893547,0,0.01,0.0
94.28,2357,0.0037407639239791,0.0005762871002412,0,0.01,0.0
94.32,2358,0.0019048392061058,0.0002248209143121,0,0.01,0.0
94.36,2359,0.000601816603852,0.0002212815084381,0,0.01,0.0
94.4,2360,0.0008860557835199,0.0002809537458482,0,0.01,0.0
94.44,2361,0.0008448130184874,0.0005127290961897,0,0.01,0.0
94.48,2362,0.001941401274427,0.0003377700745661,0,0.01,0.0
94.52,2363,0.0012748057506753,0.000261800806699,0,0.01,0.0
94.56,2364,0.0002555698185084,6.096010069145533e-05,0,0.01,0.0
94.6,2365,0.000584848871585,1.8600026727825707e-05,0,0.01,0.0
94.64,2366,0.002337266638601,5.849997800915472e-05,0,0.01,0.0
94.68,2367,0.0017070080005832,0.0002510663778325,0,0.01,0.0
94.72,2368,0.0035938409082267,0.0010702725916484,0,0.01,0.0
94.76,2369,0.0015221805608567,0.0006997813546991,0,0.01,0.0
94.8,2370,0.0003121243102815,0.0003758572122207,0,0.01,0.0
94.84,2371,4.009102206705832e-05,0.0003425767879911,0,0.01,0.0
94.88,2372,0.000177465571674,8.695552138624684e-05,0,0.01,0.0
94.92,2373,0.0006963232417524,2.0284026855001967e-05,0,0.01,0.0
94.96,2374,0.0001896832250093,9.417540488732688e-05,0,0.01,0.0
95.0,2375,6.736977681846097e-05,0.0001369788448395,0,0.01,0.0
95.04,2376,0.0004314042694738,7.75885226493323e-05,0,0.01,0.0
95.08,2377,0.0011898292915359,0.0003657632901517,0,0.01,0.0
95.12,2378,0.0021756741927977,0.0007474662658861,0,0.01,0.0
95.16,2379,0.0029933605436874,0.000904693832685,0,0.01,0.0
95.2,2380,0.0019109750713204,0.0003634576925906,0,0.01,0.0
95.24,2381,0.0022840000219476,0.0002109929563776,0,0.01,0.0
95.28,2382,0.0038439687006948,0.0005157247748027,0,0.01,0.0
95.32,2383,0.0058833340820922,0.0006779583527607,0,0.0,0.0
95.36,2384,0.002995806716559,0.0003330596918746,0,0.0,0.0
95.4,2385,0.0017210663804284,0.0004970919408845,0,0.0,0.0
95.44,2386,0.0003422593583866,0.0003816127077554,0,0.0,0.0
95.48,2387,0.0002292215373246,0.000115577919718,0,0.0,0.0
95.52,2388,0.0010979745386289,0.0001389935380594,0,0.0,0.0
95.56,2389,0.0022405301711562,0.0005622327205763,0,0.01,0.0
95.6,2390,0.004934223838213,0.0012177275657437,0,0.01,0.0
95.64,2391,0.0072788024160062,0.0027250608862629,0,0.01,0.0
95.68,2392,0.0093813987345053,0.0027910698477762,0,0.01,0.0
95.72,2393,0.0134748643230571,0.0025508654662688,0,0.01,0.0
95.76,2394,0.0078626299915504,0.0011406348371322,0,0.0,0.0
95.8,2395,0.0028163584795331,0.0008824777440286,0,0.0,0.0
95.84,2396,0.0004143801887792,0.000732770530874,0,0.01,0.0
95.88,2397,0.0001440664422039,0.0008153158142378,0,0.01,0.0
95.92,2398,0.00137670522345,0.0007539426367363,0,0.01,0.0
95.96,2399,0.0053397367581706,0.0011352691654388,0,0.01,0.0
96.0,2400,0.0056159888595568,0.0002975910461884,0,0.01,0.0
96.04,2401,0.0034204020954092,0.0004812212331389,0,0.01,0.0
96.08,2402,0.0018445701960049,0.0006595765977504,0,0.01,0.0
96.12,2403,0.0033170348828607,0.0005903252743921,0,0.01,0.0
96.16,2404,0.0029505552684676,0.0011608417203294,0,0.01,0.0
96.2,2405,0.0044985258190286,0.0022921511678615,0,0.01,0.0
96.24,2406,0.0021879800575626,0.0014504483356981,0,0.01,0.0
96.28,2407,0.0008752566432648,0.0008313857201906,0,0.01,0.0
96.32,2408,0.0016019766152632,0.000551753196574,0,0.01,0.0
96.36,2409,0.0009187410725917,0.0008989972986727,0,0.01,0.0
96.4,2410,0.0016703433683174,0.0006246172211091,0,0.01,0.0
