Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
15.88,397,0.0028667036112075,0.0003461436066171,0,other,0,0
15.92,398,0.0009897478639769,0.0005816555585988,0,other,0,0
15.96,399,0.0007157098407759,0.0010367948192916,0,other,0,0
16.0,400,0.0001639364606601,0.0005488541707819,0,other,0,0
16.04,401,1.539881022359395e-05,0.0012180812469273,0,other,0,0
16.08,402,0.0001422920043919,0.0004212440051427,0,other,0,0
16.12,403,0.0005778508116684,0.0003471399063886,0,other,0,0
16.16,404,0.0003218878197025,0.0012688197022556,0,other,0,0
16.2,405,0.0002811924340177,0.0008900583668632,0,other,0,0
16.24,406,0.0004651500202599,0.0007114882725714,0,other,0,0
16.28,407,0.0023180797286737,0.0006406367835286,0,other,0,0
16.32,408,0.0053042577601123,0.0016675825727098,0,other,0,0
16.36,409,0.0027955122979649,0.0017073537373581,0,other,0,0
16.4,410,0.0015144627180848,0.0009654872529148,0,other,0,0
16.44,411,0.0003885206889327,0.0003801628963192,0,other,0,0
16.48,412,0.0013111039835842,0.0017555872857325,0,other,0,0
16.52,413,0.0042775659179041,0.0038130027078738,0,other,0,0
16.56,414,0.0025405254254147,0.0009019607748102,0,other,0,0
16.6,415,0.0016114702787438,0.0004840118272133,0,other,0,0
16.64,416,0.0016411038752758,0.0011371194613179,0,other,0,0
16.68,417,0.0003544631622475,0.0003142821990642,0,other,0,0
16.72,418,0.0003357425828768,0.0002599749790133,0,other,0,0
16.76,419,0.0015239920248516,0.0015929756336149,0,other,0,0
16.8,420,0.002465500376363,0.0039647682937726,0,other,0,0
16.84,421,0.0049204174112822,0.0052461053473519,0,other,0,0
16.88,422,0.0016336174884415,0.0015862837468436,0,other,0,0
16.92,423,0.0022280092200481,0.0020263234914099,0,other,0,0
16.96,424,0.0020366125668395,0.001839478338226,0,other,0,0
17.0,425,0.0016836253610728,0.0004538152489289,0,other,0,0
17.04,426,0.0010598622243126,0.0002578298138891,0,other,0,0
17.08,427,0.0006660460206997,0.0003762546049421,0,other,0,0
17.12,428,0.0026365115275725,0.0006690442553473,0,other,0,0
