Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
15.92,398,0.0022786991328611,0.0004013940897617,0,other,0,0
15.96,399,0.0023138632277345,0.0008974755547816,0,other,0,0
16.0,400,0.0023242926981333,0.0010392836478455,0,other,0,0
16.04,401,0.0010497896089878,0.0010205667207882,0,other,0,0
16.08,402,0.0001959595626306,0.0011751418616637,0,other,0,0
16.12,403,0.0004642762632334,0.0028619334080225,0,other,0,0
16.16,404,0.0019769700198942,0.0020342092516801,0,other,0,0
16.2,405,0.0012399688405079,0.001159802333145,0,other,0,0
16.24,406,0.0005606661255198,0.0011229266826049,0,other,0,0
16.28,407,0.0003587777787795,0.0010049830062887,0,other,0,0
16.32,408,0.0015068902286909,0.0014045187635491,0,other,0,0
16.36,409,0.0019156684590458,0.0026239117129751,0,other,0,0
16.4,410,0.001544607624511,0.0016915254658425,0,other,0,0
16.44,411,0.0004989828866736,0.0005748759643787,0,other,0,0
16.48,412,0.000331908106617,0.0003355847876864,0,other,0,0
16.52,413,0.0002667241739715,6.64916105472087e-05,0,other,0,0
16.56,414,0.0002591044986492,0.0001982495002523,0,other,0,0
16.6,415,0.0002122839837317,0.0007555543416849,0,other,0,0
16.64,416,0.0013287836615341,0.0016478389668607,0,other,0,0
16.68,417,0.003160213916843,0.0020435527174081,0,other,0,0
16.72,418,0.0044120939687816,0.0034613645354727,0,other,0,0
16.76,419,0.0025694345964123,0.0029126097400951,0,other,0,0
16.8,420,0.001057991247687,0.0017930607608569,0,other,0,0
16.84,421,0.0016682797018957,0.0013353414772053,0,other,0,0
16.88,422,0.0050184393071528,0.001851915003437,0,other,0,0
16.92,423,0.0086506137291148,0.0029438669651066,0,other,0,0
16.96,424,0.0032802021978053,0.0011475108873467,0,other,0,0
17.0,425,0.0009673815704318,0.0002641254589373,0,other,0,0
17.04,426,0.0017682164681456,0.0011946887093,0,other,0,0
17.08,427,0.0051349681536892,0.0015535824964688,0,other,0,0
17.12,428,0.0049155001700664,0.0003374637531205,0,other,0,0
17.16,429,0.0049363568593999,0.0001372651209235,0,other,0,0
17.2,430,0.0047905477264264,0.0001579844526899,0,other,0,0
17.24,431,0.0040100198015106,0.0002401662452457,0,other,0,0
17.28,432,0.00267492168097,0.0006002421953047,0,other,0,0
17.32,433,0.0029189146030388,0.0013329103825416,0,other,0,0
17.36,434,0.0028378725945153,0.0012559305092564,0,other,0,0
17.4,435,0.0012452672441365,0.0010493843685098,0,other,0,0
17.44,436,0.0027578373259507,0.0024885987101239,0,other,0,0
17.48,437,0.0035749839421525,0.0028376590159877,0,other,0,0
17.52,438,0.0018715598634948,0.0031351597334687,0,other,0,0
17.56,439,0.0011478044743512,0.0023285881120633,0,other,0,0
17.6,440,0.0015960473808732,0.001553186474021,0,other,0,0
17.64,441,0.0014813005202564,0.001749845942426,0,other,0,0
17.68,442,0.0019242324635703,0.0016415729891275,0,other,0,0
17.72,443,0.0030161576577464,0.001986568745758,0,other,0,0
17.76,444,0.0022139721170211,0.0017682280428235,0,other,0,0
17.8,445,0.0025370573319228,0.0026961335537461,0,other,0,0
17.84,446,0.0024459290030463,0.0020628526317327,0,other,0,0
17.88,447,0.0032881812570581,0.0017937808915665,0,other,0,0
17.92,448,0.0046782741406459,0.0041855571235545,0,other,0,0
17.96,449,0.0037517190444957,0.0036560615225588,0,other,0,0
18.0,450,0.0038055257752174,0.0092755319646557,0,other,0,0
18.04,451,0.0083090142655722,0.0076192185548393,0,other,0,0
18.08,452,0.0033069642944267,0.0015931829409641,0,other,0,0
