Time,Frame,nose_dist,body_dist,freezing,Left,Right
67.16,1679,0.0004642747143852,0.0002229857254045,0,0.01,0.01
67.2,1680,0.0035534835180619,0.0008631963711447,0,0.01,0.01
67.24,1681,0.0079319700923481,0.0013435504507984,0,0.01,0.01
67.28,1682,0.0054169477272698,0.0012704354365376,0,0.01,0.01
67.32,1683,0.0042530695280262,0.0012525622833078,0,0.01,0.01
67.36,1684,0.0011020251914863,0.0002819767564747,0,0.01,0.01
67.4,1685,0.0011151879391141,0.0001573849582652,0,0.01,0.01
67.44,1686,0.001770294808661,0.0006037766158225,0,0.01,0.01
67.48,1687,0.0010755885365489,0.0007951069712383,0,0.01,0.01
67.52,1688,0.0017738729597621,0.0011488894809859,0,0.01,0.01
67.56,1689,0.0011124001026358,0.0007858879027421,0,0.01,0.0
67.6,1690,0.0048249407250544,0.0032198775870262,0,0.01,0.0
67.64,1691,0.0096960977233592,0.006910221014896,0,0.01,0.0
67.68,1692,0.006043310727435,0.0063461960647968,0,0.01,0.0
67.72,1693,0.0049112517460209,0.0068350768420332,0,0.01,0.0
67.76,1694,0.0020698707839226,0.0029511641662509,0,0.01,0.0
67.8,1695,0.0017382187130405,0.0017186600623575,0,0.01,0.0
67.84,1696,0.0011312511161652,0.001120184630986,0,0.01,0.0
67.88,1697,0.0038240548366309,0.0009659650695149,0,0.01,0.0
67.92,1698,0.0020641640698267,0.0006098086805603,0,0.01,0.0
67.96,1699,0.0067613846988297,0.0023896625641288,0,0.01,0.0
68.0,1700,0.0095476263269821,0.0039812362147374,0,0.01,0.0
68.04,1701,0.0025377345201344,0.0012338340804751,0,0.01,0.0
68.08,1702,0.001626442567398,0.0013884064165628,0,0.01,0.0
68.12,1703,0.0004247338237031,0.0007936207310377,0,0.01,0.0
68.16,1704,0.0003487135639557,0.0002802797065224,0,0.01,0.0
68.2,1705,0.0018708206114499,0.0006597025500375,0,0.01,0.0
68.24,1706,0.0031486859306409,0.0013673757302792,0,0.01,0.0
68.28,1707,0.003314651307602,0.0004043421597359,0,0.01,0.0
68.32,1708,0.0050875483850335,5.478050188283873e-05,0,0.01,0.0
68.36,1709,0.0046011866216559,0.0001639983607075,0,0.01,0.0
68.4,1710,0.0015243616451887,0.0001847929640473,0,0.01,0.0
68.44,1711,0.003778453338686,0.0009572961414458,0,0.01,0.0
68.48,1712,0.0058461747910376,0.0019512539907931,0,0.01,0.0
68.52,1713,0.0022667708964996,0.0009400322633646,0,0.01,0.0
68.56,1714,0.0027316623042192,0.0013031146704248,0,0.01,0.0
68.6,1715,0.0059443541726388,0.0023113296049553,0,0.01,0.0
68.64,1716,0.0033816381130411,0.0016716256027819,0,0.01,0.0
68.68,1717,0.0011585928160309,0.0008458819747163,0,0.01,0.0
68.72,1718,0.0001974947281411,0.0001497009982817,0,0.01,0.0
68.76,1719,0.0003749707510778,0.0003618961516511,0,0.01,0.0
68.8,1720,0.0014737509800745,0.0014779756115851,0,0.01,0.0
68.84,1721,0.001879258816561,0.000765080253011,0,0.01,0.0
68.88,1722,0.003294993999331,0.0010552454717781,0,0.01,0.0
68.92,1723,0.0014667843130424,0.0002853635283897,0,0.01,0.0
68.96,1724,0.0064243643933515,0.000207364508462,0,0.01,0.0
69.0,1725,0.016448014747168,0.0004935711656731,0,0.01,0.0
69.04,1726,0.0113193400994317,0.0017587176049668,0,0.01,0.0
69.08,1727,0.0087016242580742,0.0045136031617407,0,0.01,0.0
69.12,1728,0.0018768232895369,0.0010845962768739,0,0.01,0.0
69.16,1729,0.0003633922283779,0.0002220209118259,0,0.01,0.0
69.2,1730,0.0006853803744123,0.0010856925569024,0,0.01,0.0
69.24,1731,0.001842743330732,0.0017528952776551,0,0.01,0.0
69.28,1732,0.0040291912027801,0.0031888692017225,0,0.01,0.0
69.32,1733,0.0011212835723139,0.0008666462692606,0,0.01,0.0
69.36,1734,0.0020635245088855,0.0004303366997939,0,0.01,0.0
69.4,1735,0.0041292885508669,0.0002372546759222,0,0.01,0.0
69.44,1736,0.0030674299784233,0.0001347607692979,0,0.01,0.0
69.48,1737,0.0030336546327506,7.793879817340451e-05,0,0.01,0.0
69.52,1738,0.001489603311623,0.0002112873447536,0,0.01,0.0
69.56,1739,0.0036700841310457,0.000495969875226,0,0.01,0.0
69.6,1740,0.0023743859429046,0.0001537889397457,0,0.01,0.0
69.64,1741,0.0011345672214422,0.0001057454335669,0,0.01,0.0
69.68,1742,0.0010824489033639,0.0003704931708142,0,0.01,0.0
69.72,1743,0.0003880559996054,0.0001609603799266,0,0.01,0.0
69.76,1744,0.0011337351600535,0.000288176909876,0,0.01,0.0
69.8,1745,0.0011715753926677,0.0001409685513983,0,0.01,0.0
69.84,1746,0.0010086090736453,3.770801355742416e-05,0,0.01,0.0
69.88,1747,0.0017215944318037,0.0001254577137794,0,0.01,0.0
69.92,1748,0.0016068858291566,0.0002349991193204,0,0.01,0.0
69.96,1749,0.0060269091998055,0.0010973456239893,0,0.01,0.0
70.0,1750,0.0059068672888763,0.0017532017424338,0,0.01,0.0
70.04,1751,0.0016795168632393,0.0004673569766607,0,0.01,0.0
70.08,1752,0.0011720336653179,0.0005129033447183,0,0.01,0.0
70.12,1753,0.0013134783702809,0.001775063771268,0,0.01,0.0
70.16,1754,0.0002983645495618,0.0004436320444823,0,0.01,0.0
70.2,1755,0.0002741954064717,0.0001408416666659,0,0.01,0.0
70.24,1756,0.0011561520010961,0.0005551927373925,0,0.01,0.0
70.28,1757,0.0005089926024822,0.0001486872201994,0,0.01,0.0
70.32,1758,0.0001108220310562,2.693834138618456e-06,0,0.01,0.0
70.36,1759,0.0004769974034619,5.327706274291978e-05,0,0.01,0.0
70.4,1760,0.0005226993911039,0.0001840226454875,0,0.01,0.0
70.44,1761,0.0001078358255133,4.539703626976213e-05,0,0.01,0.0
70.48,1762,0.0001164998819037,6.82124154093192e-05,0,0.01,0.0
70.52,1763,0.0004680302386308,0.0002822059351829,0,0.01,0.0
70.56,1764,0.0001910800692064,0.0001050232972123,0,0.01,0.0
70.6,1765,0.0005456828630976,5.713876263404031e-05,0,0.01,0.0
70.64,1766,0.001693778605843,0.0002049998892436,0,0.01,0.0
70.68,1767,0.003619646509565,0.0006925617611061,0,0.0,0.0
70.72,1768,0.0013266983031019,0.0002259872438464,0,0.0,0.0
70.76,1769,0.0019658999539992,0.0002729508583586,0,0.0,0.0
70.8,1770,0.0008427869582851,0.0001741995087247,0,0.0,0.0
70.84,1771,0.0009242834561861,0.0001595349859739,0,0.0,0.0
70.88,1772,0.0033029149480416,0.0002549387074991,0,0.0,0.0
70.92,1773,0.0013474032336446,0.000132549174033,0,0.0,0.0
70.96,1774,0.0030988041821188,0.0002321203353609,0,0.0,0.01
71.0,1775,0.0047210755256887,0.0005217167634991,0,0.0,0.01
71.04,1776,0.0020186840540549,0.0003688925224599,0,0.0,0.01
71.08,1777,0.0015563104148035,0.0009394554960346,0,0.0,0.0
71.12,1778,0.0005593919949236,0.0002464170313937,0,0.0,0.0
71.16,1779,0.0002111294063642,4.1260782564546674e-05,0,0.0,0.0
71.2,1780,0.0005666724752801,0.0001565364229293,0,0.0,0.0
71.24,1781,0.0003522292731991,5.758628654444209e-05,0,0.0,0.0
