Time,Frame,nose_dist,body_dist,freezing,body,Mice,Object
90.13,1352,0.0030904694082851,0.0051391322802704,0,blue_chamber,1,0
90.2,1353,0.0026939777908811,0.0041412615161251,0,blue_chamber,1,0
90.27,1354,0.0020526916277957,0.0008615194841673,0,blue_chamber,1,0
90.33,1355,0.0030585897655631,0.0003485244372366,0,blue_chamber,1,0
90.4,1356,0.0003207994479902,0.0004724728910118,0,blue_chamber,1,0
90.47,1357,0.0025957540624009,0.0010146068893195,0,blue_chamber,1,0
90.53,1358,0.0054314552158735,0.0044738915322011,0,blue_chamber,1,0
90.6,1359,0.0084431175539041,0.0072166899666462,0,blue_chamber,1,0
90.67,1360,0.0087667613745875,0.0050165168767435,0,blue_chamber,1,0
90.73,1361,0.0100547362057147,0.005150001419654,0,blue_chamber,0,0
90.8,1362,0.0132038183197705,0.0057374411781923,0,blue_chamber,0,0
90.87,1363,0.0148244156703269,0.0013758361673241,0,blue_chamber,0,0
90.93,1364,0.0109891227013506,0.0040044540437845,0,blue_chamber,0,0
91.0,1365,0.0067919836817806,0.0046442735860293,0,blue_chamber,0,0
91.07,1366,0.0031954249157444,0.0038685377137937,0,blue_chamber,0,0
91.13,1367,0.0006926870743589,0.0002630459398734,0,blue_chamber,0,0
91.2,1368,0.003230535432017,0.003751872155834,0,blue_chamber,0,0
91.27,1369,0.0070351968788072,0.0061534546402757,0,blue_chamber,0,0
91.33,1370,0.0089837522295982,0.0040251592242891,0,blue_chamber,0,0
91.4,1371,0.0056146160563607,0.003877266674332,0,blue_chamber,0,0
91.47,1372,0.001886307356961,0.0003336552766248,0,blue_chamber,0,0
91.53,1373,0.0029984549199778,0.0022362348140808,0,blue_chamber,0,0
91.6,1374,0.003013867709075,0.0012670798104398,0,blue_chamber,0,0
91.67,1375,0.0097970599900801,0.0024164556425008,0,blue_chamber,0,0
91.73,1376,0.0144972481266562,0.0057077624472805,0,blue_chamber,0,0
91.8,1377,0.0060647584509108,0.0041761596886315,0,blue_chamber,0,0
91.87,1378,0.0021275229315407,0.000775645454083,0,blue_chamber,0,0
91.93,1379,0.0025137776729168,0.0007932295790288,0,blue_chamber,0,0
92.0,1380,0.0010720880764374,0.0005347963544848,0,blue_chamber,0,0
92.07,1381,0.0002278433814504,0.0002473975040699,0,blue_chamber,0,0
92.13,1382,0.000211293713278,0.0001480338698491,0,blue_chamber,0,0
92.2,1383,0.0002019158036723,0.0001922976393212,0,blue_chamber,0,0
92.27,1384,0.0007217568305946,0.0006796777544978,0,blue_chamber,0,0
92.33,1385,0.0032208504523502,0.0022864177066056,0,blue_chamber,0,0
92.4,1386,0.0071357788477756,0.0038227962321002,0,blue_chamber,0,0
92.47,1387,0.0057118388872446,0.0029721895908638,0,blue_chamber,0,0
92.53,1388,0.0071880217470833,0.0018157556975306,0,blue_chamber,0,0
92.6,1389,0.0096020786131909,0.0029627560417279,0,blue_chamber,0,0
92.67,1390,0.0140919063464813,0.0030492526737806,0,blue_chamber,0,0
92.73,1391,0.0368976172428541,0.0026475579465964,0,blue_chamber,0,0
92.8,1392,0.0094487265626129,0.0030078863817658,0,blue_chamber,0,0
92.87,1393,0.0002714712742777,0.0007906664042672,0,blue_chamber,0,0
92.93,1394,0.0007355926462259,0.0010689817369806,0,blue_chamber,0,0
93.0,1395,0.0007672184200674,0.0015636989862946,0,blue_chamber,0,0
93.07,1396,0.0005880584847361,0.0006845326451601,0,blue_chamber,0,0
93.13,1397,0.0001488703521028,6.701292297006107e-05,0,blue_chamber,0,0
93.2,1398,0.0001489162005449,0.0001602093915922,0,blue_chamber,0,0
