Time,Frame,nose_dist,body_dist,freezing,Known,Novel
154.96,3874,0.0035795444495167,0.0003057202432445,0,0.01,0.05
155.0,3875,0.0020933247983292,0.000148162502553,0,0.01,0.05
155.04,3876,0.0027266623718596,0.0005943154822937,0,0.01,0.04
155.08,3877,0.0006568835944144,0.0001490480269941,0,0.01,0.04
155.12,3878,0.001348885532011,0.0001184211570394,0,0.01,0.03
155.16,3879,0.0057605090123849,0.0006158822296273,0,0.01,0.02
155.2,3880,0.0034669142192446,0.0008829643767408,0,0.01,0.02
155.24,3881,0.0031964863914325,0.001182256198051,0,0.01,0.01
155.28,3882,0.0012281294110674,0.0007545526896246,0,0.01,0.01
155.32,3883,0.0036442062169474,0.0028822652059551,0,0.01,0.01
155.36,3884,0.006907991536299,0.0042164838351448,0,0.01,0.01
155.4,3885,0.0064126193907597,0.0040425646894272,0,0.01,0.0
155.44,3886,0.0061477854167716,0.0042409294887604,0,0.01,0.0
155.48,3887,0.0014423546091367,0.0015319695558615,0,0.01,0.0
155.52,3888,0.000585903822206,0.0028715861913965,0,0.01,0.0
155.56,3889,0.0003041965396989,0.0008858803489672,0,0.01,0.0
155.6,3890,0.0010075512395825,0.0003206490108647,0,0.01,0.0
155.64,3891,0.0040394546444468,0.0012610180848328,0,0.01,0.0
155.68,3892,0.0020727876679119,0.0005925628760472,0,0.01,0.01
155.72,3893,0.0048340538556226,0.0012802048707416,0,0.01,0.01
155.76,3894,0.0047334095387617,0.0009799390606343,0,0.01,0.01
155.8,3895,0.0024379480849951,0.0002184747275031,0,0.01,0.01
155.84,3896,0.000414833981176,4.0294580628312815e-05,0,0.01,0.0
155.88,3897,5.483993255559483e-05,0.0001285532470262,0,0.01,0.0
155.92,3898,0.0009441009947591,0.0004815878248715,0,0.01,0.0
155.96,3899,0.0037042421776783,0.0008233652906755,0,0.01,0.0
156.0,3900,0.0039937485215098,0.001581294048145,0,0.01,0.0
156.04,3901,0.0065476961446474,0.0036155412848487,0,0.01,0.0
156.08,3902,0.0018944000219903,0.0012311378262452,0,0.01,0.0
156.12,3903,0.0017147864720882,0.001537239013796,0,0.01,0.0
156.16,3904,0.0014729299601119,0.0009087234386787,0,0.01,0.0
156.2,3905,0.0030381133196238,0.0001418433389729,0,0.01,0.0
156.24,3906,0.0057923179755096,0.0002881315175871,0,0.01,0.0
156.28,3907,0.0019294239679041,0.0009932534444808,0,0.01,0.0
156.32,3908,0.0032066626633651,0.0004115937892731,0,0.01,0.0
156.36,3909,0.0040830742906661,0.0006262156371922,0,0.01,0.0
156.4,3910,0.0038095945279448,0.0016932522520194,0,0.01,0.01
156.44,3911,0.0025963397497693,0.0051447085167639,0,0.01,0.01
156.48,3912,0.001346173856368,0.0015769007048725,0,0.01,0.01
156.52,3913,0.003492222886929,0.0010624697380069,0,0.01,0.02
156.56,3914,0.0130759466500976,0.0007618522158812,0,0.01,0.02
156.6,3915,0.0094863648531979,0.0001778877564929,0,0.01,0.02
156.64,3916,0.0084701969485549,0.0,0,0.01,0.02
156.68,3917,0.0026996406744746,0.000267246309433,0,0.01,0.01
156.72,3918,0.0050906915278261,0.0014747199000155,0,0.01,0.01
156.76,3919,0.0074515363162928,0.0025376182238214,0,0.01,0.01
156.8,3920,0.00435579151311,0.0022443317813777,0,0.01,0.01
156.84,3921,0.0017436763697247,0.0023873188350169,0,0.01,0.01
156.88,3922,0.0005769811600711,0.000820629054338,0,0.01,0.01
156.92,3923,0.0011689476842064,0.0012869463504581,0,0.01,0.01
156.96,3924,0.0023738242529388,0.0028964915146711,0,0.01,0.01
157.0,3925,0.0047356311145043,0.0053224871275914,0,0.01,0.01
157.04,3926,0.0085309348255865,0.0067697379884327,0,0.01,0.01
157.08,3927,0.0026482122988553,0.0022872798139452,0,0.01,0.01
157.12,3928,0.0033846795032549,0.0042522868251467,0,0.01,0.01
157.16,3929,0.0035567631341297,0.0059036934316309,0,0.01,0.01
157.2,3930,0.0024072754286161,0.0048034475664657,0,0.01,0.01
157.24,3931,0.002159988186959,0.0038790779289603,0,0.01,0.01
157.28,3932,0.000848065393812,0.0012019165291229,0,0.01,0.0
157.32,3933,0.0015376972864487,0.0018120102309095,0,0.01,0.0
