Time,Frame,nose_dist,body_dist,freezing,body
148.56,3714,0.0009388570720612,0.0012885847363073,0,Arm_3
148.6,3715,0.0026858115913278,0.0004620686200586,0,Arm_3
148.64,3716,0.0039903496353181,0.0005130403100237,0,Arm_3
148.68,3717,0.0036201581705258,0.0019897994870265,0,Arm_3
148.72,3718,0.0011031867513872,0.0004922512354983,0,Arm_3
148.76,3719,0.0003199457994354,0.0005229927663916,0,Arm_3
148.8,3720,0.00193043101828,0.0006555612523467,0,Arm_3
148.84,3721,0.0016152837214223,0.0003390637654515,0,Arm_3
148.88,3722,0.0014771866589231,0.0007000424949097,0,Arm_3
148.92,3723,0.0019896273916645,0.0003085146268845,0,Arm_3
148.96,3724,0.0021040964529499,0.0001140884399455,0,Arm_3
149.0,3725,0.0007676471858588,0.0001650467598044,0,Arm_3
149.04,3726,0.000417323234453,5.764235646201993e-05,0,Arm_3
149.08,3727,0.0014764589210544,0.0003156722003013,0,Arm_3
149.12,3728,0.0020700975340165,0.0006662971059198,0,Arm_3
149.16,3729,0.0061237418094281,0.0009917395932018,0,Arm_3
149.2,3730,0.0096765264683724,0.0032999145050523,0,Arm_3
149.24,3731,0.0078976448371595,0.0032515935440439,0,Arm_3
149.28,3732,0.0034246207508177,0.0017379094831548,0,Arm_3
149.32,3733,0.0085498538998417,0.0014565840900522,0,Arm_3
149.36,3734,0.0087328342457594,0.0020288128680337,0,Arm_3
149.4,3735,0.0048715524228924,0.0032323229739262,0,Arm_3
149.44,3736,0.0025665056160803,0.0023556451934348,0,Arm_3
149.48,3737,0.0017327790605241,0.0026512628539175,0,Arm_3
149.52,3738,0.0032453245861605,0.0022678928603321,0,Arm_3
149.56,3739,0.0053389691235828,0.0014080645204501,0,Arm_3
149.6,3740,0.0045358200675796,0.00243296979854,0,Arm_3
149.64,3741,0.0049020597426735,0.0028181950380872,0,Arm_3
149.68,3742,0.0034051759081774,0.003290696885066,0,Arm_3
149.72,3743,0.0047551829337064,0.0036617374309719,0,Arm_3
149.76,3744,0.0089480756560771,0.0059149961198751,0,Arm_3
149.8,3745,0.0056455217546683,0.0060611986116352,0,Arm_3
149.84,3746,0.00062461152962,0.00097798774802,0,Arm_3
149.88,3747,0.0030543173188162,0.0016891773259799,0,Arm_3
149.92,3748,0.0073958844788973,0.003264296962611,0,Arm_3
149.96,3749,0.009247294377868,0.0034938418212264,0,Arm_3
150.0,3750,0.0069235349149784,0.0019424025870311,0,Arm_3
150.04,3751,0.0041611863733186,0.0015466097121253,0,Arm_3
150.08,3752,0.0026143834288575,0.0003961593197882,0,Arm_3
150.12,3753,0.001570051587751,0.0003415403666731,0,Arm_3
150.16,3754,0.0007540783780157,0.0015310203726577,0,Arm_3
150.2,3755,0.0024538304769868,0.002517343479836,0,Arm_3
150.24,3756,0.0039511707500517,0.0034240465438157,0,Arm_3
150.28,3757,0.0084400581123096,0.0054281598954289,0,Arm_3
150.32,3758,0.0081593367151166,0.0061973845763449,0,Arm_3
150.36,3759,0.0090945465585371,0.0052710515374897,0,Arm_3
150.4,3760,0.0093627360299206,0.0044738708415838,0,Arm_3
150.44,3761,0.005272231324142,0.0041059214986287,0,Arm_3
150.48,3762,0.0059961057826784,0.0042257017784879,0,Arm_3
150.52,3763,0.0029459638633083,0.0039006482292672,0,Arm_3
150.56,3764,0.0023226651859591,0.0024930001081437,0,Arm_3
150.6,3765,0.0018644634394195,0.0012910572895576,0,Arm_3
150.64,3766,0.0005369050616047,0.0002222175129284,0,Arm_3
150.68,3767,0.0005090677891638,0.0016269067925599,0,Arm_3
150.72,3768,0.0006052551150768,0.0012629077930258,0,Arm_3
150.76,3769,0.0006053574657553,0.0019150102570461,0,Arm_3
150.8,3770,0.0016588120591395,0.0016960996675383,0,Arm_3
150.84,3771,0.0005431960962835,0.0017728338664618,0,Arm_3
150.88,3772,0.0048320292282932,0.003739065236939,0,Arm_3
150.92,3773,0.0067697823717669,0.0029795624838672,0,Arm_3
150.96,3774,0.0079835140714536,0.0006653867762452,0,Arm_3
151.0,3775,0.0051097879620581,0.003389421205731,0,Arm_3
151.04,3776,0.0041703117563268,0.0033544827139196,0,Arm_3
151.08,3777,0.005273122673885,0.0051067490743069,0,Arm_3
151.12,3778,0.0017291528790578,0.0050504030999468,0,Arm_3
151.16,3779,0.0018068214103539,0.0052121800354952,0,Arm_3
151.2,3780,0.0151491073613673,0.0020291245773931,0,Arm_3
151.24,3781,0.0488239008370385,0.0013068485394688,0,Arm_3
151.28,3782,0.0143830082956918,0.0029299345846845,0,Arm_3
151.32,3783,0.0027953854224856,0.0014977072939814,0,Arm_3
151.36,3784,0.0032712609182702,0.001409685981409,0,Arm_3
151.4,3785,0.0028076267553389,0.002128444884626,0,Arm_3
151.44,3786,0.0014143396628267,0.0023055436703057,0,Arm_3
151.48,3787,0.0025257038872939,0.001555429700925,0,Arm_3
151.52,3788,0.0031902142295371,0.0004019432193238,0,Arm_3
151.56,3789,0.0015219092078104,0.0013985172187137,0,Arm_3
151.6,3790,0.0023586241972598,0.001448723122213,0,Arm_3
151.64,3791,0.0027163316254476,0.0006558579022623,0,Arm_3
151.68,3792,0.0029059473362798,0.0005698979607182,0,Arm_3
151.72,3793,0.0024721563290414,0.0011462200351014,0,Arm_3
151.76,3794,0.0012794531535857,0.0023294802864667,0,Arm_3
151.8,3795,0.0019867867244034,0.0019298121238069,0,Arm_3
151.84,3796,0.0024094440188348,0.0019248166495282,0,Arm_3
151.88,3797,0.0039178126317154,0.0017256064198479,0,Arm_3
151.92,3798,0.0025439857042242,0.0025686405691489,0,Arm_3
151.96,3799,0.0041138759721988,0.0031563653652631,0,Arm_3
152.0,3800,0.0028555692278893,0.002431299176009,0,Arm_3
152.04,3801,0.0014945748447236,0.0009685599866812,0,Arm_3
152.08,3802,0.0010652295911059,0.0003108263260343,0,Arm_3
152.12,3803,0.0003468957599335,0.0003867266349726,0,Arm_3
152.16,3804,0.0008956495351172,0.0003429153638168,0,Arm_3
152.2,3805,0.002924585257829,0.0010821549985775,0,Arm_3
152.24,3806,0.0024928907296634,0.00240933369625,0,Arm_3
152.28,3807,0.0009449199121269,0.0026087044254381,0,Arm_3
152.32,3808,0.0006136244417466,0.0019093539384815,0,Arm_3
152.36,3809,0.0001300088868709,0.0027584595944623,0,Arm_3
152.4,3810,0.0012680765437212,0.000692065654112,0,Arm_3
152.44,3811,0.002925048928647,0.0008059448228632,0,Arm_3
152.48,3812,0.0026239173363758,0.0002919360924575,0,Arm_3
152.52,3813,0.0019508042721376,5.701758170195225e-05,0,Arm_3
152.56,3814,0.0023545905767454,0.0007397468915066,0,Arm_3
152.6,3815,0.0048326421184201,0.0019728293082551,0,Arm_3
152.64,3816,0.0032583856285448,0.0006191931368024,0,Arm_3
152.68,3817,0.0005336095678135,0.0001038714630738,0,Arm_3
152.72,3818,0.0010090266321525,0.0006863596688699,0,Arm_3
152.76,3819,0.0021831729587082,0.0011898334461849,0,Arm_3
152.8,3820,0.0064106794367049,0.0021173545226514,0,Arm_3
152.84,3821,0.0150269402807893,0.0028092626858774,0,Arm_3
152.88,3822,0.0124374504449698,0.0005945709281234,0,Arm_3
152.92,3823,0.0082787634665583,0.0011208729107181,0,Arm_3
152.96,3824,0.0059149285509928,0.0049883216751138,0,Arm_3
153.0,3825,0.0073315102468732,0.0052962047001411,0,Arm_3
153.04,3826,0.0052410778061519,0.0058385935823778,0,Arm_3
153.08,3827,0.004221884933268,0.0042069751457884,0,Arm_3
153.12,3828,0.0037578118970766,0.0036937100207056,0,Arm_3
153.16,3829,0.0040905056184997,0.0030873287620576,0,Arm_3
153.2,3830,0.0028727144288794,0.0028117421729288,0,Arm_3
153.24,3831,0.000857650974968,0.0019345776793007,0,Arm_3
153.28,3832,0.0007030938321377,0.0016082834165907,0,Arm_3
153.32,3833,0.0012297702566998,0.0009773581344184,0,Arm_3
153.36,3834,0.0012955583768578,0.0007794217693878,0,Arm_3
153.4,3835,0.0017934704012122,0.0013362560009543,0,Arm_3
153.44,3836,0.0006250376066098,0.0004184934034492,0,Arm_3
153.48,3837,0.0004367831236115,0.0002036654272789,0,Arm_3
153.52,3838,0.0027680171116327,0.000736485329639,0,Arm_3
153.56,3839,0.0067373215587228,0.0042327104637004,0,Arm_3
153.6,3840,0.0082216804503381,0.0091422499562744,0,Arm_3
153.64,3841,0.0080976645001283,0.0101865923273213,0,Arm_3
153.68,3842,0.0076885999851893,0.0079688809699723,0,Arm_3
153.72,3843,0.0102586503352127,0.0086257134808363,0,Arm_3
153.76,3844,0.0097946829214167,0.0097366963388427,0,Arm_3
153.8,3845,0.0078075799199804,0.0101867200199058,0,Arm_3
153.84,3846,0.0051266230312829,0.0037982630199577,0,Arm_3
153.88,3847,0.0014153068927874,0.0006256417557986,0,Arm_3
153.92,3848,0.0002434733617951,6.509778968350795e-05,0,Arm_3
153.96,3849,0.0009574980373549,0.000328037760036,0,Arm_3
154.0,3850,0.0051951849757343,0.0030837241827932,0,Arm_3
154.04,3851,0.0123736361868474,0.0105519058778588,0,Arm_3
154.08,3852,0.0127198476452449,0.0133894164426562,0,Arm_3
154.12,3853,0.0103455201296155,0.0121264330866757,0,Arm_3
154.16,3854,0.0137663722443658,0.0098416461545948,0,Arm_3
154.2,3855,0.0130235199652563,0.0117700609851981,0,Arm_3
154.24,3856,0.0106857133425313,0.0109446654251063,0,Arm_3
154.28,3857,0.0099595337219815,0.0124209305650569,0,Arm_3
154.32,3858,0.0090464844768117,0.0120146348144345,0,Arm_3
154.36,3859,0.0092534789237238,0.0076586082193124,0,Arm_3
154.4,3860,0.0084736756477484,0.0083103413337368,0,Arm_3
154.44,3861,0.0082768440356148,0.0096850532530987,0,Arm_3
154.48,3862,0.0066917062783841,0.0096717165802926,0,Arm_3
154.52,3863,0.0033565475547329,0.0048494712041527,0,Arm_3
154.56,3864,0.0024113196388099,0.0037107999245063,0,Arm_3
154.6,3865,0.004478187202286,0.0042726121860953,0,Arm_3
154.64,3866,0.0042403995848017,0.0024085978143259,0,Arm_3
