nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_midside_x,left_midside_y,right_midside_x,right_midside_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,tail_base_x,tail_base_y,tail_mid_x,tail_mid_y,tail_end_x,tail_end_y,blue_cyl_x,blue_cyl_y,red_cyl_x,red_cyl_y
142.00773823066527,370.85357910850234,131.65789794921875,392.89702282801915,150.56069718505873,391.91884238039734,140.75805308844915,384.6742248239441,141.7031514715576,398.1683050147692,142.6330688716567,434.0793243785057,126.33693951307393,409.874773473178,160.92343833577343,406.8170814112432,126.55656777767832,429.3018039453109,160.66013739850797,428.18572675230564,124.245459219167,455.1927312172303,162.17482326290988,450.1697873462285,145.7693759425767,471.2087018185246,151.32784257517935,508.37110354508553,185.84137467160315,533.9140857575945,138.0,111.0,840.0,111.0
141.60162004091688,346.95492506036453,131.57163174760186,369.3526073860488,150.11196577237862,368.1197379448154,140.67861100542984,361.0756199970615,141.83029579406744,374.1930375428725,141.96763353941012,410.1699367445733,125.92384228653624,385.87101815356885,160.47950718986715,382.7448712291661,126.3294906616211,405.0862946389726,160.0110521183696,403.19306570734653,124.38977942829393,430.66149268938534,161.65252685546878,424.73189960416374,145.23979458964988,444.619622605568,149.40565490722656,469.741877081365,181.08312088776213,491.29752500988,138.0,111.0,840.0,111.0
140.62213033902634,320.15540853900376,131.22567049849192,343.65276218348384,150.47192533472875,340.6894559169559,140.656792436953,334.5013755618063,141.86199951171875,348.2750183200146,141.83546447753906,382.8248468318786,125.8066086422844,360.24476072622963,160.47923554526525,356.0473584335222,126.32979023230358,378.30710431363315,159.87283325195312,376.68773982827133,124.24933155290103,402.3919186633708,161.4043680873154,396.9557002252926,144.96155181651827,417.5752313200072,148.59215802526913,453.5274224809062,177.95345442962068,476.1767148730546,138.0,111.0,840.0,111.0
142.1482881034703,292.2418367781384,131.99921785282595,314.4413734834793,152.37725925599756,312.86465328938516,141.676414258336,306.196019620001,142.4333315779071,319.54771774271205,141.91030129599883,353.79645274895677,126.43431077147162,329.8447598983839,160.92540557100273,328.45271533933374,126.4716197535973,348.51384335840936,160.04193836348057,348.0113082039907,123.54176036604429,373.22737057808934,160.4091542515518,369.57455121393707,143.81074497451442,390.7149907070189,145.32971697473087,432.78518293796185,175.0111067285503,467.7589854427437,138.0,111.0,840.0,111.0
149.30233041585566,266.77099737811045,135.9204340881444,287.77972222228846,154.445264197412,289.22550448638515,146.15730570280658,281.49523359840316,145.04891515622816,293.1101097408636,142.21042624306367,327.4877208288801,129.2656213375079,299.8219185707724,162.0560939470301,303.8074444300351,127.03589317572022,320.9132563720935,160.7201160798788,321.64232574744534,123.36532592773438,347.32913122298436,160.16099548339844,341.90710158555464,141.40058528904544,365.14478805825763,143.67605888134037,402.6420565887309,164.11234611382477,443.6297366216663,138.0,111.0,840.0,111.0
151.894353140563,241.43703208774878,138.95046003970305,262.2776101983266,157.53492619325442,264.1685513159677,149.0439597840265,256.000395925743,147.04856597452982,268.6741090040059,142.28526306152344,304.0812693143023,131.1216396545329,274.74449964987036,164.4259855343551,279.69207631433903,127.11763408291742,296.4378352261742,160.88922119140628,300.9524544150306,123.12014509526365,323.24071371806025,159.9449060106784,321.3914712193273,140.8360595703125,340.15518523898044,139.98157815316645,379.382066305713,153.01338797793744,421.3759510676657,138.0,111.0,840.0,111.0
155.6429104456277,219.96756935740189,141.75369579264637,240.59706707955374,160.06414536797354,243.59502201215724,152.2017835018035,233.6134552998057,148.7290219430747,248.00675735800985,142.62683456918518,282.84355689269773,132.31569846321037,251.48146807262216,165.97991423900294,259.784298504805,126.88147327792245,274.2799623049772,160.99561194217614,281.1555964716114,122.1368739477051,300.5785634884233,159.07830260748565,302.8333441892595,141.09146642574123,319.585416937443,137.83761748209477,356.65850558876775,150.78492736816406,402.5497383798677,138.0,111.0,840.0,111.0
163.05384587431377,202.81322173670452,147.10045758591934,221.167956163647,163.98292457728553,227.19596608107793,158.4057392160415,215.67863066308885,152.66301999027837,229.90546482631723,144.28674842331102,265.0683193522398,136.12818347282214,230.7540954098655,168.10045894862625,243.69289411280187,127.16125579358732,254.19365827280217,162.14139485971148,262.6079300854052,122.08767200184175,282.03021118282425,159.99970586476758,283.068317699242,142.56531974589385,302.7398114399166,139.00073619912203,332.52538811384727,150.86574544533514,384.9624276327377,138.0,111.0,840.0,111.0
168.0989640956927,189.53040512627982,149.43894314590722,209.45706994344877,167.50846756044524,216.05857978410768,162.99132573555968,203.51284396878393,155.8081915514936,218.4517972034031,145.95987950722042,254.5798463430481,139.70915878972875,218.5391050480567,171.46042804986962,232.58936361087785,128.78808516922604,242.11364519525725,165.62948034731932,250.86189860470887,122.87362407970124,271.95149763607907,164.56149713816217,269.27947392478563,144.6236856301228,292.5000864474877,144.96909717490138,323.9977477600228,151.18985758200864,365.462467454372,138.0,111.0,840.0,111.0
170.4298191715599,184.2123246502535,152.41968455754468,205.85011565224858,170.8305068529584,211.6984177285151,165.66684451848016,198.58794024817803,159.06763982762766,214.20171574133263,147.0220774534573,249.6800894221042,142.0168657063879,213.91351759216016,174.84774109380584,227.559135252273,130.36403403066353,236.27484118244737,168.38011920537596,246.2710445741609,122.84834209121382,263.65577669306174,165.92296465054338,264.78687701914095,143.9394230328419,288.0242813257487,144.97098599344181,316.99400362247593,150.53474981284336,355.8081023489556,138.0,111.0,840.0,111.0
172.29396974335998,182.91269045726693,155.0764818551014,205.2103808971532,174.04390273699642,210.90320950578808,167.56675045395195,197.767606008292,161.58346990048346,213.4085292090685,147.7704300508357,247.02005150526097,144.45568452320245,212.2856006746181,177.52372617933466,226.7763824462891,131.70849903686937,232.94674345094293,169.2348666246039,245.30916007765907,121.96099933945024,258.3032933090713,166.8211912332457,263.8536339266123,139.3923030413769,283.77385921362253,138.92193319516457,320.25128435662765,147.5833989908676,361.6197626058315,138.0,111.0,840.0,111.0
