Time,Frame,nose_dist,body_dist,freezing,darting
247.32,6183,0.0016659551439979,9.031891534816694e-05,0,0
247.36,6184,0.00042494433513,6.098762882699258e-05,0,0
247.4,6185,0.0002992379064931,0.0002261476294229,0,0
247.44,6186,0.0004519756843413,7.855079635618951e-05,0,0
247.48,6187,0.0011478666297231,9.574320789602394e-05,0,0
247.52,6188,0.0009977452074618,0.0002296028021036,0,0
247.56,6189,0.0029150790936791,0.0001390582131159,0,0
247.6,6190,0.0014741979372904,0.0002220865640218,0,0
247.64,6191,0.0040729809609075,0.0009931974551646,0,0
247.68,6192,0.0052056911469319,0.0012270456726375,0,0
247.72,6193,0.0014183794022995,0.0002946887952195,0,0
247.76,6194,8.220343086179962e-05,1.8029938454812256e-05,0,0
247.8,6195,3.8388404040314944e-05,3.353868152295547e-05,0,0
247.84,6196,0.0002443798065327,0.0001953505280974,0,0
247.88,6197,0.000429170302133,0.0003490832885407,0,0
247.92,6198,0.0001243496310718,0.000152207842434,0,0
247.96,6199,7.123419563081157e-05,6.619515004416599e-05,0,0
248.0,6200,0.0001651917978459,7.332907427359814e-05,0,0
248.04,6201,9.655073704986818e-05,4.981282346994208e-05,0,0
248.08,6202,2.2003451420467e-05,6.020629022009887e-05,0,0
248.12,6203,0.0,2.6119055831799187e-05,0,0
248.16,6204,2.567726932132732e-05,2.73088151678448e-05,0,0
248.2,6205,0.0001029759048343,0.00011350560108,0,0
248.24,6206,2.567726932130268e-05,5.36379282114545e-05,0,0
248.28,6207,0.0,0.0001239992277062,0,0
248.32,6208,1.836985393820712e-05,0.0002013650305269,0,0
248.36,6209,0.0001041284417789,8.403913410210606e-05,0,0
248.4,6210,0.0004592862398191,0.0001026256325385,0,0
248.44,6211,0.0008447159859727,9.198730980261217e-05,0,0
248.48,6212,0.0009111658336869,8.241195148031764e-05,0,0
248.52,6213,0.0012918684748826,3.4590284847844855e-05,0,0
248.56,6214,0.0003220022072167,2.605075403965525e-05,0,0
248.6,6215,0.0010930869597384,0.0003656167934133,0,0
248.64,6216,0.0044228723752357,0.0015127499063807,0,0
248.68,6217,0.0038579392389421,0.0012200692998138,0,0
248.72,6218,0.0043663484917333,0.0007160420845113,0,0
248.76,6219,0.0015450915364812,0.0003512457806554,0,0
248.8,6220,0.003395670532755,0.0009680880229802,0,0
248.84,6221,0.0051669727738348,0.0005456193859267,0,0
248.88,6222,0.0031727802056662,0.0006555182638578,0,0
248.92,6223,0.0012333114798495,0.0005706995505021,0,0
248.96,6224,0.0030916951628415,0.001825459902991,0,0
249.0,6225,0.0012303074611906,0.000585140443964,0,0
249.04,6226,0.0025816986259304,0.0005358981469331,0,0
249.08,6227,0.0028967742702998,0.0004205357928858,0,0
249.12,6228,0.0010014784324367,0.0001375821140402,0,0
249.16,6229,9.90025012003737e-05,0.0002426958742547,0,0
249.2,6230,7.754820600691658e-06,6.558353545850704e-05,0,0
249.24,6231,0.0001007039830774,2.363467765391702e-05,0,0
249.28,6232,0.0003452352010145,9.347311422086866e-05,0,0
249.32,6233,0.0005558988724352,6.770584490008175e-05,0,0
249.36,6234,0.0014229716262845,0.0001685058197821,0,0
249.4,6235,0.001855037946524,0.0001309649575535,0,0
249.44,6236,0.00172664676183,0.0002851284061275,0,0
249.48,6237,0.0060226720430488,0.0009138026593568,0,0
249.52,6238,0.0034078225664205,0.0002261937413819,0,0
249.56,6239,0.0008559211352203,2.519661284431152e-05,0,0
249.6,6240,0.0034703629529578,0.0001662957402321,0,0
249.64,6241,0.0101419215024245,0.0003029931441958,0,0
249.68,6242,0.0078494137313172,0.0004115352749749,0,0
249.72,6243,0.0055636577681507,0.0006872811091607,0,0
249.76,6244,0.0014386786012451,0.0002398089438267,0,0
249.8,6245,0.00133823086007,0.0006375027132528,0,0
249.84,6246,0.0007250391602476,0.0001807722960582,0,0
249.88,6247,0.0027315168030426,3.552713678800501e-17,0,0
249.92,6248,0.002729065786304,3.692102988202058e-05,0,0
249.96,6249,0.0036619581794871,5.641778933255608e-05,0,0
250.0,6250,0.0009116654816334,1.2567422866793946e-05,0,0
250.04,6251,0.0008277132200006,5.88173959065415e-05,0,0
250.08,6252,0.002996446314628,0.0004807553869501,0,0
250.12,6253,0.0031621433722738,0.0010865716152023,0,0
250.16,6254,0.001832978466153,0.0007027510023084,0,0
250.2,6255,0.0048395489092037,0.0018110565088299,0,0
250.24,6256,0.0014578218414241,0.0006750455911734,0,0
