Time,Frame,nose_dist,body_dist,freezing,darting,Mice,Object
248.93,3734,0.0003545987991369,2.339774314493493e-05,0,0,0,1
249.0,3735,0.0012907219792847,0.0005471050025047,0,0,0,1
249.07,3736,0.0021445672290234,0.0016294890832325,0,0,0,1
249.13,3737,0.0016406538180932,0.0012394941198026,0,0,0,1
249.2,3738,0.0005365346045761,0.0002954743042612,0,0,0,1
249.27,3739,0.0024115527624652,0.0010446671188503,0,0,0,1
249.33,3740,0.0049877509108241,0.0032448064887053,0,0,0,1
249.4,3741,0.0030223099609119,0.0031772699327675,0,0,0,1
249.47,3742,0.000703352288967,0.0015665095396502,0,0,0,1
249.53,3743,0.0006981220767594,0.0006644324095026,0,0,0,1
249.6,3744,0.0017053975425059,0.0012261029367603,0,0,0,1
249.67,3745,0.0033132830190306,0.0016077366297369,0,0,0,1
249.73,3746,0.0037117693323621,0.0009969677878465,0,0,0,1
249.8,3747,0.0019611402131026,0.0014975163841252,0,0,0,1
249.87,3748,0.0012759550851524,0.0011876218342703,0,0,0,1
249.93,3749,0.0034767816666782,0.0016765815319406,0,0,0,1
250.0,3750,0.0057163464273843,0.0032963722387966,0,0,0,1
250.07,3751,0.0042727148553637,0.0031576035391433,0,0,0,1
250.13,3752,0.0013881589522813,0.0025958208407746,0,0,0,1
250.2,3753,0.0013887399719783,0.0034927565536427,0,0,0,1
250.27,3754,0.0014651439507849,0.0032544395242428,0,0,0,1
250.33,3755,0.0009702660267765,0.0014220183481426,0,0,0,0
250.4,3756,0.0005501414475842,0.0001627557664567,0,0,0,0
250.47,3757,0.0003957048944447,0.0009819896398439,0,0,0,0
250.53,3758,0.0013538787718891,0.0034176650351553,0,0,0,0
250.6,3759,0.0025711063029702,0.0043588074560707,0,0,0,1
250.67,3760,0.0015533258472063,0.0048159462519099,0,0,0,1
250.73,3761,0.0013920105139809,0.0046762442791949,0,0,0,1
250.8,3762,0.0037068521001551,0.0050392065757042,0,0,0,1
250.87,3763,0.0040252265918007,0.0037725598390194,0,0,0,1
250.93,3764,0.0082378630415556,0.001673007347474,0,0,0,1
251.0,3765,0.0070637631080061,0.0008689472020982,0,0,0,1
251.07,3766,0.007498888600271,0.000685509621787,0,0,0,1
251.13,3767,0.0048681984639731,0.0002330344733277,0,0,0,1
251.2,3768,0.0040615002234499,0.0014812013791658,0,0,0,1
251.27,3769,0.0037623391564719,0.0011718922981557,0,0,0,1
251.33,3770,0.0017407214223895,0.0014638254257372,0,0,0,1
251.4,3771,0.0001433577681386,0.0007908214748635,0,0,0,1
251.47,3772,0.0005362595887524,0.000115882919124,0,0,0,1
251.53,3773,0.0006196900376897,0.0001577070220761,0,0,0,1
251.6,3774,0.0003401640484633,0.000515360326957,0,0,0,1
251.67,3775,6.125010971134393e-05,0.000129861512379,0,0,0,1
251.73,3776,7.978112516118085e-05,7.864737498821767e-06,0,0,0,1
251.8,3777,8.311276174992083e-05,5.566409336407499e-05,0,0,0,1
251.87,3778,6.292601598236638e-05,0.0001522108864497,0,0,0,1
251.93,3779,0.0002855024759665,5.285660970133713e-05,0,0,0,1
252.0,3780,0.0003388015808676,4.610625658963015e-05,0,0,0,1
252.07,3781,0.0003494691926731,6.395646948183269e-05,0,0,0,1
252.13,3782,0.0002031719628149,2.969979468260127e-05,0,0,0,1
252.2,3783,0.0001632005388987,7.081035711278843e-05,0,0,0,1
252.27,3784,0.0002417573291214,0.0001985297335024,0,0,0,1
252.33,3785,0.0007249951378559,0.0001339308195068,0,0,0,1
252.4,3786,0.0009277350161104,0.000928892975353,0,0,0,1
252.47,3787,0.0001744768642422,0.0016390228887554,0,0,0,1
252.53,3788,0.0002938418086729,0.0005155791012778,0,0,0,1
252.6,3789,0.0006277459961344,4.754681364786715e-05,0,0,0,1
252.67,3790,9.37245422757162e-05,4.1202802163166034e-05,0,0,0,1
252.73,3791,0.0004402695691458,0.0001987727372565,0,0,0,1
252.8,3792,0.0002654890814039,0.0004447698271767,0,0,0,1
252.87,3793,8.777580786212533e-05,0.0006081445757023,0,0,0,1
252.93,3794,9.721296587449774e-05,0.0008608366041642,0,0,0,1
253.0,3795,0.0003203397787917,0.0008206693424881,0,0,0,1
253.07,3796,0.0003512647119965,0.0005769805924566,0,0,0,1
253.13,3797,0.0011976062711718,0.0002237742363402,0,0,0,1
253.2,3798,0.00050611418503,8.870896032614404e-05,0,0,0,1
253.27,3799,0.0004104517749053,0.0001920124312281,0,0,0,1
253.33,3800,0.0006166717928162,0.0002282427880502,0,0,0,1
253.4,3801,0.0005893605850384,0.0003310744990591,0,0,0,1
253.47,3802,0.0007788826142528,0.0012739186295554,0,0,0,1
253.53,3803,0.0003457738140001,0.0003317243696646,0,0,0,1
253.6,3804,0.000315304090268,0.0001997954934795,0,0,0,1
