Time,Frame,nose_dist,body_dist,freezing,darting,Object,Mice
259.73,3896,0.0013160037175438,0.0004873184924422,0,0,0,0
259.8,3897,0.0016952276455482,0.0005572444483563,0,0,0,0
259.87,3898,0.0019505950238264,0.0004340610746203,0,0,0,0
259.93,3899,0.0022933995242627,0.0010155087980841,0,0,0,0
260.0,3900,0.0031149824528775,0.0027401939508813,0,0,0,0
260.07,3901,0.0023392152531477,0.0003592957294098,0,0,0,0
260.13,3902,0.0009643473293586,0.0017682756306832,0,0,0,0
260.2,3903,0.0067413679889354,0.0037611283330309,0,0,0,0
260.27,3904,0.0101466413304264,0.0051147152696616,0,0,0,0
260.33,3905,0.0073837498122754,0.0042055764999004,0,0,0,0
260.4,3906,0.0028064241519286,0.0041618641588821,0,0,0,0
260.47,3907,0.0006374846785972,0.0030212085475274,0,0,0,0
260.53,3908,0.0003064266961501,0.0010568028800006,0,0,0,0
260.6,3909,0.0010231915155099,0.0008819551973371,0,0,0,0
260.67,3910,0.0011588715207129,0.001434040491747,0,0,0,0
260.73,3911,0.0031427230317355,0.0008783326167516,0,0,0,0
260.8,3912,0.0041888829885841,0.0002561736199633,0,0,0,0
260.87,3913,0.0073642487449614,0.0017540800403909,0,0,0,0
260.93,3914,0.0049906518717942,0.0013839616402323,0,0,0,0
261.0,3915,0.0041942777756418,0.0014087583499798,0,0,0,0
261.07,3916,0.0019084769818731,0.0019541929709693,0,0,0,0
261.13,3917,0.0034204679326048,0.0018516006360647,0,0,0,0
261.2,3918,0.0040820204229517,0.0014804063580768,0,0,0,0
261.27,3919,0.0039276230083286,0.0012221632874442,0,0,0,0
261.33,3920,0.0054003408679293,0.0025647939722443,0,0,0,0
261.4,3921,0.0032380683831457,0.0024939407305495,0,0,0,0
261.47,3922,0.0022342272933546,0.0023840467217877,0,0,0,0
261.53,3923,0.0067876713636229,0.0049566892633288,0,0,0,0
261.6,3924,0.0088958568993815,0.0053667841623254,0,0,0,0
261.67,3925,0.0116531889852801,0.0022315782676176,0,0,0,0
261.73,3926,0.0145649295111865,0.0003889080173585,0,0,0,0
261.8,3927,0.0159176558419115,0.0007487694846181,0,0,0,0
261.87,3928,0.0156422403887245,0.0002561183708688,0,0,0,0
261.93,3929,0.0143819082153259,0.0005681318457306,0,0,0,0
262.0,3930,0.0135823964432393,0.0010452564539767,0,0,0,0
262.07,3931,0.010915697010661,0.00030288481887,0,0,0,0
262.13,3932,0.0034024927580662,0.0006354303666224,0,0,0,0
262.2,3933,0.0014084770772437,0.0009497404777531,0,0,0,0
262.27,3934,0.0012840540628376,0.0008357026377528,0,0,0,0
262.33,3935,0.0013024479503502,0.0008263970971547,0,0,0,0
262.4,3936,0.00129528547067,0.0009523557587877,0,0,0,0
262.47,3937,0.0012508479066348,0.000536238808007,0,0,0,0
262.53,3938,0.0013223401664054,0.0004578659767726,0,0,0,0
262.6,3939,0.00177266604829,0.001416461372052,0,0,0,0
262.67,3940,0.0021190739671817,0.0006535318135379,0,0,0,0
262.73,3941,0.0045659506139552,0.0004879106543854,0,0,0,0
262.8,3942,0.0107059407729774,0.0026996516918237,0,0,0,0
262.87,3943,0.0145322326092863,0.0083901479666075,0,0,0,0
262.93,3944,0.0176803541965258,0.0139117011269175,0,0,0,0
263.0,3945,0.0170779696320349,0.0149828234297935,0,0,0,0
263.07,3946,0.012166482017648,0.0110174178631587,0,0,0,0
263.13,3947,0.0131615123937048,0.0106085370241677,0,0,0,0
263.2,3948,0.0180693016918363,0.0125085578047815,0,0,0,0
263.27,3949,0.017586028790598,0.0135399038460699,0,0,0,0
263.33,3950,0.0177878615715395,0.0152930321206571,0,0,0,0
263.4,3951,0.0174205827952,0.0171642616517922,0,0,0,0
263.47,3952,0.0186431497794176,0.0169077602556401,0,0,0,0
