Time,Frame,nose_dist,body_dist,freezing
53.8,1345,0.0044738278379567,0.0019384488252008,0
53.84,1346,0.0117854734449492,0.0058426784031557,0
53.88,1347,0.003678205854117,0.0024148593708013,0
53.92,1348,0.0034049998337569,0.0037072960119052,0
53.96,1349,0.0014649940835577,0.0011780231688786,0
54.0,1350,0.0025390531508915,0.0015745475251758,0
54.04,1351,0.0016919331977845,0.0023076445139627,0
54.08,1352,0.0003907203720843,0.0005240520678885,0
54.12,1353,3.347030829102746e-07,2.2322515771674543e-05,0
54.16,1354,3.7519323546428274e-07,1.0803329763575676e-06,0
54.2,1355,7.894726287499239e-05,0.0004836904282,0
54.24,1356,0.0003166535790868,0.0018876107240339,0
54.28,1357,0.0001767541310784,0.0005610677460383,0
54.32,1358,0.0007061694711886,0.0002892711695692,0
54.36,1359,0.0007984751668867,7.709028127078551e-05,0
54.4,1360,0.0030724304952415,2.212661147827765e-05,0
54.44,1361,0.0015967369823707,2.97967274831612e-05,0
54.48,1362,0.000575028745716,0.000132113922319,0
54.52,1363,0.0018729032906155,0.0004606954649967,0
54.56,1364,0.0004668931560724,0.000156714074108,0
54.6,1365,0.0001883810835014,6.165540666991647e-05,0
54.64,1366,0.0010267704165352,0.0001185555709135,0
54.68,1367,0.0022857701939812,0.0004256843944288,0
54.72,1368,0.0007244518297075,0.0001477429992757,0
54.76,1369,0.0006634011239595,0.0001699907751531,0
54.8,1370,0.0007288880922418,8.606471053631439e-05,0
54.84,1371,0.0023319077358976,3.972054645195637e-17,0
54.88,1372,0.0010761435325557,7.073502593886559e-05,0
54.92,1373,0.0009289533297408,0.0001265429073375,0
54.96,1374,0.0007060803207275,6.862339208935093e-05,0
55.0,1375,0.0034339380773896,0.0004888628179225,0
55.04,1376,0.0064553588432093,0.0016610373704471,0
55.08,1377,0.0026796702644322,0.0013001931128163,0
55.12,1378,0.0052529363362802,0.0036920685581079,0
55.16,1379,0.0022719089114391,0.0020985360147588,0
55.2,1380,0.0046400803532912,0.0057197897459384,0
55.24,1381,0.0063882455455247,0.0058603980835535,0
55.28,1382,0.0017247444121458,0.0016582210099295,0
55.32,1383,0.0009506542684379,0.0022423743871415,0
55.36,1384,0.0004170545843775,0.0015063776331856,0
55.4,1385,0.0012975150220949,0.004199816199246,0
55.44,1386,0.0038001073770951,0.0026401834932413,0
55.48,1387,0.0025805395368824,0.0009171483172843,0
55.52,1388,0.0004401840671413,0.0001546192586546,0
55.56,1389,0.000148255659635,0.0004271250894703,0
55.6,1390,0.0006889029509392,0.001738587764018,0
55.64,1391,0.0006266850122658,0.0006324645159406,0
55.68,1392,0.0001243514092684,7.285965687701153e-05,0
55.72,1393,1.4885910802519753e-07,3.755041526787295e-07,0
55.76,1394,0.0002278934967387,0.0003006889893461,0
55.8,1395,0.0009142236428715,0.0012070977548678,0
55.84,1396,0.0003452223604284,0.0005208683528293,0
55.88,1397,0.0007165022239462,0.0007936500026959,0
55.92,1398,0.000324375465605,0.0005398722163454,0
55.96,1399,0.0009727997597376,0.0014154010043772,0
56.0,1400,0.0031232114249176,0.000526926964919,0
56.04,1401,0.0008713269700549,7.155902645354307e-05,0
56.08,1402,0.0011349655385459,0.000138488682012,0
56.12,1403,0.0042223046437261,5.5581464275354586e-05,0
56.16,1404,0.0022382682413287,6.012404217353051e-05,0
56.2,1405,0.0057004132330748,0.0006922504102161,0
56.24,1406,0.0050532380471297,0.002553410529655,0
56.28,1407,0.0017434901219269,0.0017463758904112,0
56.32,1408,0.0005214510176931,0.0003022238328444,0
56.36,1409,0.001610643940237,3.935297501442741e-07,0
56.4,1410,0.0012061369787624,0.0002553218317234,0
56.44,1411,0.0034238142291505,0.0010589617909638,0
56.48,1412,0.0018626855784227,0.000493066807349,0
56.52,1413,0.0008107688653553,0.0001370078573796,0
56.56,1414,0.0021989236690737,0.0003775261247569,0
56.6,1415,0.0022896589030967,0.0001897949321149,0
56.64,1416,0.00880188862228,0.0012887761580811,0
56.68,1417,0.0113035238432863,0.0030078841743681,0
56.72,1418,0.0080895457979615,0.0021961643296357,0
56.76,1419,0.0019571211915673,0.0007972075353465,0
56.8,1420,0.0032070337128186,0.0017074057699644,0
56.84,1421,0.0052901110177389,0.0015127562640449,0
56.88,1422,0.0017585625347112,0.0004997170745461,0
56.92,1423,0.0022858980778941,0.0006590820180392,0
56.96,1424,0.0008479483727957,0.0007125178569984,0
57.0,1425,0.0040346599359239,0.0036322102414177,0
57.04,1426,0.0114815192051031,0.0062461600627209,0
57.08,1427,0.0072453395790905,0.0042853245843414,0
57.12,1428,0.0020971481261634,0.0011294653800946,0
57.16,1429,0.0040637219434765,0.0016425263300051,0
